Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,530663
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,734488
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,357048
"2407 Corbin Lane, Lodi, CA 95242",318000,310031
"647 El Capitan, Lodi, CA 95242",319900,313060
"717 Peach St, Lodi, CA 95242-3638",219000,213092
"721 Rutledge Dr, Lodi, CA 95242",315000,297765
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,751781
"870 Rutledge Dr., Lodi, CA 95242",185000,181628
"910 Tehama Dr, Lodi, CA 95242-9553",595000,563180
"2069 Incline, Lodi, CA 95242",528000,505494
"2570 Legacy Way, Lodi, CA 95242-4821",515000,502746
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,660672
"2530 Legacy Way, Lodi, CA 95242",512900,501500
"303 Rainier Dr, Lodi, CA 95242-2627",335000,327808
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,733118
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,565688
"1123 Dover Dr, Lodi, CA 95242-3814",309500,301539
"2025 Mammoth Way, Lodi, CA 95242",728000,683056
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,480471
"220 S Mills Ave, Lodi, CA 95242-3140",274000,265655
"900 Evert Ct, Lodi, CA 95242-3704",500000,485599
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,459839
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,194731
"1701 Holly Dr, Lodi, CA 95242-2430",307000,300460
"1705 Providence Way, Lodi, CA 95242-4745",499000,482912
"300 Westwood Ave, Lodi, CA 95242-2451",249999,244405
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,506660
"1811 Newport Dr, Lodi, CA 95242",333000,327335
"1203 Vienna Drive, Lodi, CA 95242",730000,685395
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,341420
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,342044
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,415040
"955 Virginia Ave, Lodi, CA 95242-3583",439950,428021
"1701 Normandy Ln, Lodi, CA 95242",399950,384863
"818 Cheney Ct, Lodi, CA 95242-3507",664999,619224
"701 W Tokay St, Lodi, CA 95240-3925",420000,400929
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,503807
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,309055
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,105440
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,193126
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,279474
"1731 S School St, Lodi, CA 95240-6248",268500,264778
"301 Olive Ct, Lodi, CA 95240-1120",219000,212125
"500 Gerard Dr, Lodi, CA 95242",335000,328409
"2111 Newbury Cir, Lodi, CA 95240",269900,259810
"1333 Robinson Ln, Lodi, CA 95242-3929",265000,264914
"2116 Newbury Cir, Lodi, CA 95240",262500,255182
"310 Palm Ave, Lodi, CA 95240-1131",299999,283206
"1310 S Church St, Lodi, CA 95240-5716",265000,258920
"2250 Scarborough Dr #68, Lodi, CA 95240-6654",167000,162449
"811 S California St, Lodi, CA 95240-4622",299000,291844
"2306 S Ham, Lodi, CA 95242",359900,356692
"1002 Pinot Noir Dr, Lodi, CA 95240-7423",349900,340678
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,523629
"708 S Church St, Lodi, CA 95240-4727",312000,307671
"651 Grant Ave, Lodi, CA 95240-0907",338000,325149
"137 S Ham Ln, Lodi, CA 95242",249000,242275
"701 N Roper Ave, Lodi, CA 95240-0925",270000,261601
"1005 S Pleasant Ave, Lodi, CA 95240",269950,259153
"418 N ham Ln, Lodi, CA 95242",269950,251890
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,187721
"500 S Orange, Lodi, CA 95240",282500,275084
"1121 S School St, Lodi, CA 95240-5706",349000,337531
"719 W Vine, Lodi, CA 95240",294888,284184
"1608 Brandywine Ct, Lodi, CA 95240-7401",349000,340229
"216 N Hutchins St, Lodi, CA 95240-1920",285000,275198
"1495 Centennial Dr, Lodi, CA 95242-4701",659500,628634
"1619 S Church St, Lodi, CA 95240-6205",249500,244859
"910 York St, Lodi, CA 95240-5103",274900,270335
"1235 S Pleasant Ave, Lodi, CA 95240-5725",250000,245911
"1209 S Fairmont Ave, Lodi, CA 95240-5518",289000,278249
"20 S Ham Ln, Lodi, CA 95242-3001",299000,293043
"741 S Church St, Lodi, CA 95240-4726",439000,418429
"616 Alicante Dr, Lodi, CA 95240-5607",219950,217811
"621 S Sacramento St, Lodi, CA 95240",169000,155918
"325 E Harney Ln, Lodi, CA 95240-6839",280000,271924
"311 E Harney Ln, Lodi, CA 95240-6839",320000,275189
"18 W Vine St, Lodi, CA 95240",239000,230600
"216 Hilborn St, Lodi, CA 95240-4118",229900,226134
"445 Almond Dr #37, Lodi, CA 95240-6341",115000,112427
"340 Eden St, Lodi, CA 95240-4112",184900,179790
"1828 Almondwood Pl, Lodi, CA 95240",244500,237562
"1863 Almondwood Pl, Lodi, CA 95240-8855",249900,245751
"211 Hartford Dr, Lodi, CA 95240-7895",321000,316235
"17 Sierra Vista Pl, Lodi, CA 95240-4740",249900,242180
"420 S School St, Lodi, CA 95240-4003",215000,212333
"1431 S Sacramento St, Lodi, CA 95240-6221",224000,220273
"1035 S Central Ave, Lodi, CA 95240",228000,224902
"437 Eden St, Lodi, CA 95240",169900,166318
"1300 S school, Lodi, CA 95240",249999,244678
"2514 Mercato Ln, Lodi, CA 95240-8908",299000,297831
