Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,511867
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,728637
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,341261
"2407 Corbin Lane, Lodi, CA 95242",318000,314602
"647 El Capitan, Lodi, CA 95242",319900,297930
"717 Peach St, Lodi, CA 95242-3638",219000,200436
"721 Rutledge Dr, Lodi, CA 95242",315000,294965
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,821195
"870 Rutledge Dr., Lodi, CA 95242",185000,175190
"910 Tehama Dr, Lodi, CA 95242-9553",595000,575057
"2069 Incline, Lodi, CA 95242",528000,495546
"2570 Legacy Way, Lodi, CA 95242-4821",515000,491088
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,669683
"2530 Legacy Way, Lodi, CA 95242",512900,491088
"303 Rainier Dr, Lodi, CA 95242-2627",335000,323153
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,827010
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,559768
"1123 Dover Dr, Lodi, CA 95242-3814",309500,293031
"2025 Mammoth Way, Lodi, CA 95242",728000,691491
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,439937
"220 S Mills Ave, Lodi, CA 95242-3140",274000,251913
"900 Evert Ct, Lodi, CA 95242-3704",500000,483008
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,431354
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,182513
"1701 Holly Dr, Lodi, CA 95242-2430",307000,292644
"1705 Providence Way, Lodi, CA 95242-4745",499000,476399
"300 Westwood Ave, Lodi, CA 95242-2451",249999,251003
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,491088
"1811 Newport Dr, Lodi, CA 95242",333000,322395
"1203 Vienna Drive, Lodi, CA 95242",730000,691491
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,327843
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,338134
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,410884
"955 Virginia Ave, Lodi, CA 95242-3583",439950,411257
"1701 Normandy Ln, Lodi, CA 95242",399950,406368
"818 Cheney Ct, Lodi, CA 95242-3507",664999,632317
"701 W Tokay St, Lodi, CA 95240-3925",420000,406224
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,488911
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,290197
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,120301
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,182513
