Address,Listing Price,Predicted Selling Price
"10365 Manthey Rd, Lathrop, CA 95330",2100000,1512671
"16280 Cottage Manteca, CA 95336",675000,626680
"24205 McIntire, Clements, CA 95227",2090000,1717711
"1039 Porter Ave, Stockton, CA 95207-4211",248777,238309
"317 S Manley Rd, Ripon, CA 95366-2919",550000,540085
"19887 E Mehrten Rd, Clements, CA 95227",1450000,1263507
"5061 Gadwall Cir, Stockton, CA 95207-5358",524900,497685
"19960 Elliott, Lockeford, CA 95237",1399000,1241745
"1858 W Acacia St, Stockton, CA 95203",110500,98482
"4852 Saint Andrews Dr, Stockton, CA 95219-1916",1695000,1525700
"24301 E Liberty Rd, Clements, CA 95227",1300000,1187049
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,505382
"929 N Madison St, Stockton, CA 95202-1254",140000,135317
"6 Summersky Way, Lodi, CA 95242-9521",220000,217158
"8482 W Linne Rd, Tracy, CA 95304-9137",1100000,963673
"21020 Elliott Rd, Lockeford, CA 95237",649950,589772
"16750 Clements Rd, Lodi, CA 95240",1350000,1209619
"14800 Liberty Rd, Galt, CA 95632-8241",499000,474648
"8678 Carey Ct, Stockton, CA 95212-1404",1975000,1836768
"1527 S Aurora St, Stockton, CA 95206-1643",69900,63752
"16321 S Wing Levee Rd, Stockton, CA 95206",999988,993854
"28025 S Chrisman Rd, Tracy, CA 95304-9164",2650000,1812709
"10256 E Eight Mile Rd, Stockton, CA 95212",479900,454356
"25344 State Route 12 Hwy, Clements, CA 95227",1999000,1788509
"906 S Central Ave, Lodi, CA 95240-5302",319000,309193
"1505 N San Joaquin St, Stockton, CA 95204-6113",524950,534599
"4901 E Eight Mile Rd, Stockton, CA 95212-9449",569000,538421
"4965 Saint Andrews Dr, Stockton, CA 95219-1917",675000,644514
"1000 W Yosemite Ave, Manteca, CA 95337-5341",475000,457722
"23850 E. Ranchero Rd, Clements, CA 95227",2950000,2266224
"1307 Lilac St, Lodi, CA 95242-9190",289000,280957
"7322 Larkspur Ln, Stockton, CA 95207-1629",278000,266456
"1234 W Benjamin Holt Dr, Stockton, CA 95207-3643",499950,473481
"240 E Edison St, Manteca, CA 95336-3703",425000,399314
"610 W Oak St, Stockton, CA 95203-2305",129000,126419
"32329 S Bird Rd, Tracy, CA 95304-9331",685000,653812
"3158 Dartmouth Ct, Stockton, CA 95209-2107",259000,250710
"325 E Harney Ln, Lodi, CA 95240-6839",280000,273789
"311 E Harney Ln, Lodi, CA 95240-6839",320000,302375
"12533 Liberty Rd, Galt, CA 95632-8221",865000,840246
"827 E Jackson St, Stockton, CA 95206-1633",169000,160801
"201 River Oaks Dr, Lodi, CA 95240-0563",675000,635978
"3632 MERRIMAC CIRCLE, Stockton, CA 95219-3611",280000,273852
"8752 Eastwood Ct, Stockton, CA 95209-2007",289000,283064
"10716 Siskiyou Ln, Stockton, CA 95209-3802",339000,325759
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1050000,945513
"18580 E Rodeo Dr, Clements, CA 95227",1475000,1278221
"20336 Santa Fe Rd, Escalon, CA 95320",525000,501336
"2727 Loomis Rd, Stockton, CA 95205-8009",250000,243691
"1548 El Camino Ave, Stockton, CA 95209-2571",749000,701118
"300 Mount Oso Ave, Tracy, CA 95376-4643",475000,456762
"1142 Rivergate Dr #20, Lodi, CA 95240-0542",369000,354783
"1922 Valmora Dr, Stockton, CA 95210-1532",168000,164247
"11998 Copperopolis, Stockton, CA 95215",339000,312161
"918 E 2 nd st, Stockton, CA 95206",110000,104327
"10571 Hildreth Ln, Stockton, CA 95212-9443",595000,540199
"3639 Saint Andrews Dr, Stockton, CA 95219-1889",339000,324226
"705 San Miguel Ave, Stockton, CA 95210-1139",189500,181391
"863 Raysilva Cir, Stockton, CA 95206-5309",290000,277532
"3815 N California Street, Stockton, CA 95204",127000,125719
"1058 Spring Meadow Dr, Manteca, CA 95336-9156",476000,469310
"6121 Riverbank Cir, Stockton, CA 95219-2524",799000,761636
"22942 S MANTECA RD, Manteca, CA 95337",539999,525572
"2772 Stony Creek Cir, Acampo, CA 95220",598950,562612
"2077 W Sonoma, Stockton, CA 95204",210000,207219
"16046 N Jack Tone Rd, Lodi, CA 95240-9201",385000,374141
"4015 Glen Abby Cir, Stockton, CA 95219-1810",766000,742387
"4227 Spyglass Dr, Stockton, CA 95219-1923",649900,627450
"12671 W Bethany Rd, Tracy, CA 95304",619000,599982
"20199 Wicklund, Tracy, CA 95391",884500,796182
"6433 Pine Meadow Cir, Stockton, CA 95219-2544",425000,415222
"18555 S MacArthur Dr, Tracy, CA 95304-9427",350000,328298
"1857 Mimosa Ct, Tracy, CA 95376-0754",549999,532613
"3969 Glen Abby Cir, Stockton, CA 95219-1804",795000,755268
"3320 OSBORNE Ave, Stockton, CA 95205-4756",280950,270627
"29 N HINKLEY AVE, Stockton, CA 95215",279900,267438
"28295 Jack Godwin Way, Tracy, CA 95304-8156",615000,598850
"1363 Green Ridge Dr, Stockton, CA 95209-4537",319500,313067
"7757 Northland Rd, Manteca, CA 95336-9749",910000,842474
"6713 Embarcadero Dr #31, Stockton, CA 95219-3393",300000,285675
"1103 W Lincoln Rd, Stockton, CA 95207-2517",581975,559424
"213 S Carroll Ave, Stockton, CA 95215-5204",214950,206599
"5853 E Acorn Ct, Stockton, CA 95212",889000,826848
"22140 N Clements Rd, Clements, CA 95227",1650500,1329981
"6508-6502 E State Route 88 Hwy, Stockton, CA 95202",839000,738157
"2137 E Sonora St, Stockton, CA 95205",160000,152677
"3858 Grange Ave, Stockton, CA 95204-1737",319000,312280
"29511 E Chapman Way, Escalon, CA 95320-9493",925000,894789
"1984 Remembrance Ln, Tracy, CA 95377-8400",410000,402490
"1104 Meadowbrook Ct, Manteca, CA 95336-3586",350000,342718
"25990 S Corral Hollow, Tracy, CA 95376",599000,568997
"879 Mettler Rd, Lodi, CA 95242-9411",1499000,1255111
"3070 Beaufort Ave, Stockton, CA 95209-2210",300000,293471
"19144 HIDDEN LAKES, Acampo, CA 95220-9117",1150000,1005268
"380 N Airport Way, Manteca, CA 95337",479000,453327
"630 Rutledge Dr, Lodi, CA 95242",334900,328060
"15200 Lone Tree Rd, Escalon, CA 95320-8730",2950000,2282703
"5344 Saint Andrews Dr, Stockton, CA 95219-1914",1395000,1330978
"544 Lode St, Manteca, CA 95336",289000,284194
"1890 Summertime Dr, Tracy, CA 95376-9669",429900,424393
"1142 Rivergate Drive #21, Lodi, CA 95240",399000,385530
"2142 Delaware Ave, Stockton, CA 95204-4711",248000,240153
"4465 Oakridge Dr, Tracy, CA 95377",499999,492191
"827 El Dorado, Manteca, CA 95337",324000,311618
"301 W Vine St, Stockton, CA 95203-2527",299000,284560
"3514 Cherryland Ave, Stockton, CA 95215",800000,761391
"3454 Cherryland Ave, Stockton, CA 95215",500000,479218
"14134 Chantilly Ct, Lathrop, CA 95330-9061",355000,347846
"16825 E State Route 88 Hwy, Clements, CA 95227",725000,704785
"8136 N Pershing Ave, Stockton, CA 95209-2542",245000,241288
"101 Raylow Ave, Manteca, CA 95336",349000,340370
"635 Diane Dr, Manteca, CA 95336",265000,257795
"2854 N E St, Stockton, CA 95205-2639",169000,163017
"15944 E Kettleman Ln, Lodi, CA 95240-9730",4995000,2200905
"8703 Cherbourg Way, Stockton, CA 95210-3273",199900,195162
"1029 Milgeo, Ripon, CA 95366",384500,378999
