Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,535600
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,817500
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,358845
"2407 Corbin Lane, Lodi, CA 95242",318000,310455
"647 El Capitan, Lodi, CA 95242",319900,308933
"717 Peach St, Lodi, CA 95242-3638",219000,215669
"721 Rutledge Dr, Lodi, CA 95242",315000,308933
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,899000
"870 Rutledge Dr., Lodi, CA 95242",185000,186337
"910 Tehama Dr, Lodi, CA 95242-9553",595000,579350
"2069 Incline, Lodi, CA 95242",528000,497833
"2570 Legacy Way, Lodi, CA 95242-4821",515000,497833
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,653316
"2530 Legacy Way, Lodi, CA 95242",512900,497833
"303 Rainier Dr, Lodi, CA 95242-2627",335000,330449
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,899000
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,579350
"1123 Dover Dr, Lodi, CA 95242-3814",309500,308933
"2025 Mammoth Way, Lodi, CA 95242",728000,653316
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,482023
"220 S Mills Ave, Lodi, CA 95242-3140",274000,266216
"900 Evert Ct, Lodi, CA 95242-3704",500000,482023
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,469890
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,186997
"1701 Holly Dr, Lodi, CA 95242-2430",307000,305666
"1705 Providence Way, Lodi, CA 95242-4745",499000,482023
"300 Westwood Ave, Lodi, CA 95242-2451",249999,241772
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,497833
"1811 Newport Dr, Lodi, CA 95242",333000,330449
"1203 Vienna Drive, Lodi, CA 95242",730000,653316
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,344844
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,353091
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,401120
"955 Virginia Ave, Lodi, CA 95242-3583",439950,423805
"1701 Normandy Ln, Lodi, CA 95242",399950,388762
"818 Cheney Ct, Lodi, CA 95242-3507",664999,653316
"701 W Tokay St, Lodi, CA 95240-3925",420000,423805
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,497833
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,280000
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,107273
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,186997
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,258500
