Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,529629
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,721889
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,360028
"2407 Corbin Lane, Lodi, CA 95242",318000,308445
"647 El Capitan, Lodi, CA 95242",319900,309254
"717 Peach St, Lodi, CA 95242-3638",219000,214210
"721 Rutledge Dr, Lodi, CA 95242",315000,301666
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,806707
"870 Rutledge Dr., Lodi, CA 95242",185000,182666
"910 Tehama Dr, Lodi, CA 95242-9553",595000,563856
"2069 Incline, Lodi, CA 95242",528000,505613
"2570 Legacy Way, Lodi, CA 95242-4821",515000,498276
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,669104
"2530 Legacy Way, Lodi, CA 95242",512900,500748
"303 Rainier Dr, Lodi, CA 95242-2627",335000,328813
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,862609
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,569971
"1123 Dover Dr, Lodi, CA 95242-3814",309500,300856
"2025 Mammoth Way, Lodi, CA 95242",728000,686962
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,483640
"220 S Mills Ave, Lodi, CA 95242-3140",274000,265118
"900 Evert Ct, Lodi, CA 95242-3704",500000,484906
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,465321
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,193536
"1701 Holly Dr, Lodi, CA 95242-2430",307000,299865
"1705 Providence Way, Lodi, CA 95242-4745",499000,483425
"300 Westwood Ave, Lodi, CA 95242-2451",249999,244533
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,502351
"1811 Newport Dr, Lodi, CA 95242",333000,327957
"1203 Vienna Drive, Lodi, CA 95242",730000,685272
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,342635
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,346655
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,407766
"955 Virginia Ave, Lodi, CA 95242-3583",439950,423227
"1701 Normandy Ln, Lodi, CA 95242",399950,394383
"818 Cheney Ct, Lodi, CA 95242-3507",664999,642564
"701 W Tokay St, Lodi, CA 95240-3925",420000,408438
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,502216
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,302705
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,105601
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,192263
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,278790
"1731 S School St, Lodi, CA 95240-6248",268500,261899
"301 Olive Ct, Lodi, CA 95240-1120",219000,213391
"500 Gerard Dr, Lodi, CA 95242",335000,325191
"2111 Newbury Cir, Lodi, CA 95240",269900,261657
"1333 Robinson Ln, Lodi, CA 95242-3929",265000,263966
"2116 Newbury Cir, Lodi, CA 95240",262500,254028
"310 Palm Ave, Lodi, CA 95240-1131",299999,287145
"1310 S Church St, Lodi, CA 95240-5716",265000,260909
"2250 Scarborough Dr #68, Lodi, CA 95240-6654",167000,162446
"811 S California St, Lodi, CA 95240-4622",299000,291608
"2306 S Ham, Lodi, CA 95242",359900,354231
"1002 Pinot Noir Dr, Lodi, CA 95240-7423",349900,342900
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,525837
"708 S Church St, Lodi, CA 95240-4727",312000,304001
"651 Grant Ave, Lodi, CA 95240-0907",338000,327953
"137 S Ham Ln, Lodi, CA 95242",249000,242345
"701 N Roper Ave, Lodi, CA 95240-0925",270000,264416
"1005 S Pleasant Ave, Lodi, CA 95240",269950,263734
"418 N ham Ln, Lodi, CA 95242",269950,261248
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,190493
"500 S Orange, Lodi, CA 95240",282500,278459
"1121 S School St, Lodi, CA 95240-5706",349000,342767
"719 W Vine, Lodi, CA 95240",294888,290129
"1608 Brandywine Ct, Lodi, CA 95240-7401",349000,342889
"216 N Hutchins St, Lodi, CA 95240-1920",285000,279148
"1495 Centennial Dr, Lodi, CA 95242-4701",659500,629373
"1619 S Church St, Lodi, CA 95240-6205",249500,244711
"910 York St, Lodi, CA 95240-5103",274900,270544
"1235 S Pleasant Ave, Lodi, CA 95240-5725",250000,244281
"1209 S Fairmont Ave, Lodi, CA 95240-5518",289000,282966
"20 S Ham Ln, Lodi, CA 95242-3001",299000,294448
"741 S Church St, Lodi, CA 95240-4726",439000,424522
"616 Alicante Dr, Lodi, CA 95240-5607",219950,215343
"621 S Sacramento St, Lodi, CA 95240",169000,168648
"325 E Harney Ln, Lodi, CA 95240-6839",280000,268274
"311 E Harney Ln, Lodi, CA 95240-6839",320000,293067
"18 W Vine St, Lodi, CA 95240",239000,229257
"216 Hilborn St, Lodi, CA 95240-4118",229900,227363
"445 Almond Dr #37, Lodi, CA 95240-6341",115000,113315
"340 Eden St, Lodi, CA 95240-4112",184900,180605
"1828 Almondwood Pl, Lodi, CA 95240",244500,236876
"1863 Almondwood Pl, Lodi, CA 95240-8855",249900,243829
"211 Hartford Dr, Lodi, CA 95240-7895",321000,317353
"17 Sierra Vista Pl, Lodi, CA 95240-4740",249900,242692
"420 S School St, Lodi, CA 95240-4003",215000,209923
"1431 S Sacramento St, Lodi, CA 95240-6221",224000,217811
"1035 S Central Ave, Lodi, CA 95240",228000,223264
"437 Eden St, Lodi, CA 95240",169900,167385
"1300 S school, Lodi, CA 95240",249999,244213
"2514 Mercato Ln, Lodi, CA 95240-8908",299000,296143
"323 E Vine, Lodi, CA 95240",189900,190075
"549 Swallow Ln, Lodi, CA 95240-6388",309000,302792
"612 S Central ave, Lodi, CA 95240",185000,181887
"169 Mulberry Cir, Lodi, CA 95240-7158",239000,231411
"1848 Blackbird Pl, Lodi, CA 95240-8861",299000,295843
"204 Cherry St, Lodi, CA 95240-4804",319950,310834
"2139 Jayhawk, Lodi, CA 95240",340000,326388
"736 Golden Ave, Lodi, CA 95240",359000,354983
