Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,355806.241514
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,457618.807254
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,226715.777704
"2407 Corbin Lane, Lodi, CA 95242",318000,193890.783662
"647 El Capitan, Lodi, CA 95242",319900,189808.935734
"717 Peach St, Lodi, CA 95242-3638",219000,127885.805215
"721 Rutledge Dr, Lodi, CA 95242",315000,191189.807014
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,584635.934493
"870 Rutledge Dr., Lodi, CA 95242",185000,107017.806348
"910 Tehama Dr, Lodi, CA 95242-9553",595000,379288.32841
"2069 Incline, Lodi, CA 95242",528000,346085.146482
"2570 Legacy Way, Lodi, CA 95242-4821",515000,323621.129768
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,440877.577479
"2530 Legacy Way, Lodi, CA 95242",512900,323830.482864
"303 Rainier Dr, Lodi, CA 95242-2627",335000,205747.88734
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,714622.187852
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,364371.340299
"1123 Dover Dr, Lodi, CA 95242-3814",309500,192702.138328
"2025 Mammoth Way, Lodi, CA 95242",728000,456674.173959
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,313651.964541
"220 S Mills Ave, Lodi, CA 95242-3140",274000,162693.665744
"900 Evert Ct, Lodi, CA 95242-3704",500000,309216.660472
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,299552.854966
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,116979.122234
"1701 Holly Dr, Lodi, CA 95242-2430",307000,188924.652281
"1705 Providence Way, Lodi, CA 95242-4745",499000,313905.1896
"300 Westwood Ave, Lodi, CA 95242-2451",249999,149067.808603
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,324742.29525
"1811 Newport Dr, Lodi, CA 95242",333000,205198.411453
"1203 Vienna Drive, Lodi, CA 95242",730000,462106.413418
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,214041.535164
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,218893.139201
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,261582.041833
"955 Virginia Ave, Lodi, CA 95242-3583",439950,274059.883001
