Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,522588
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,720373
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,359938
"2407 Corbin Lane, Lodi, CA 95242",318000,309152
"647 El Capitan, Lodi, CA 95242",319900,312235
"717 Peach St, Lodi, CA 95242-3638",219000,212098
"721 Rutledge Dr, Lodi, CA 95242",315000,294304
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,743558
"870 Rutledge Dr., Lodi, CA 95242",185000,182444
"910 Tehama Dr, Lodi, CA 95242-9553",595000,558818
"2069 Incline, Lodi, CA 95242",528000,506792
"2570 Legacy Way, Lodi, CA 95242-4821",515000,493556
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,657591
"2530 Legacy Way, Lodi, CA 95242",512900,494210
"303 Rainier Dr, Lodi, CA 95242-2627",335000,330126
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,764714
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,564563
"1123 Dover Dr, Lodi, CA 95242-3814",309500,301041
"2025 Mammoth Way, Lodi, CA 95242",728000,690736
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,481796
"220 S Mills Ave, Lodi, CA 95242-3140",274000,265611
"900 Evert Ct, Lodi, CA 95242-3704",500000,485429
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,461841
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,192871
"1701 Holly Dr, Lodi, CA 95242-2430",307000,302059
"1705 Providence Way, Lodi, CA 95242-4745",499000,481076
"300 Westwood Ave, Lodi, CA 95242-2451",249999,245228
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,494030
"1811 Newport Dr, Lodi, CA 95242",333000,327472
"1203 Vienna Drive, Lodi, CA 95242",730000,689788
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,341443
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,347322
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,405806
"955 Virginia Ave, Lodi, CA 95242-3583",439950,421414
"1701 Normandy Ln, Lodi, CA 95242",399950,391360
"818 Cheney Ct, Lodi, CA 95242-3507",664999,627415
"701 W Tokay St, Lodi, CA 95240-3925",420000,408324
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,505295
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,306399
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,107684
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,192741
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,279765
"1731 S School St, Lodi, CA 95240-6248",268500,263359
"301 Olive Ct, Lodi, CA 95240-1120",219000,213064
"500 Gerard Dr, Lodi, CA 95242",335000,328240
"2111 Newbury Cir, Lodi, CA 95240",269900,262653
"1333 Robinson Ln, Lodi, CA 95242-3929",265000,263200
"2116 Newbury Cir, Lodi, CA 95240",262500,254282
"310 Palm Ave, Lodi, CA 95240-1131",299999,279269
"1310 S Church St, Lodi, CA 95240-5716",265000,261212
"2250 Scarborough Dr #68, Lodi, CA 95240-6654",167000,162658
"811 S California St, Lodi, CA 95240-4622",299000,292144
"2306 S Ham, Lodi, CA 95242",359900,354612
"1002 Pinot Noir Dr, Lodi, CA 95240-7423",349900,341832
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,521210
"708 S Church St, Lodi, CA 95240-4727",312000,306743
"651 Grant Ave, Lodi, CA 95240-0907",338000,328567
"137 S Ham Ln, Lodi, CA 95242",249000,243244
"701 N Roper Ave, Lodi, CA 95240-0925",270000,263356
"1005 S Pleasant Ave, Lodi, CA 95240",269950,263213
"418 N ham Ln, Lodi, CA 95242",269950,252156
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,182643
"500 S Orange, Lodi, CA 95240",282500,277500
"1121 S School St, Lodi, CA 95240-5706",349000,341594
"719 W Vine, Lodi, CA 95240",294888,288408
"1608 Brandywine Ct, Lodi, CA 95240-7401",349000,341812
"216 N Hutchins St, Lodi, CA 95240-1920",285000,277685
"1495 Centennial Dr, Lodi, CA 95242-4701",659500,630483
"1619 S Church St, Lodi, CA 95240-6205",249500,244792
"910 York St, Lodi, CA 95240-5103",274900,269824
"1235 S Pleasant Ave, Lodi, CA 95240-5725",250000,245221
"1209 S Fairmont Ave, Lodi, CA 95240-5518",289000,281354
"20 S Ham Ln, Lodi, CA 95242-3001",299000,293164
"741 S Church St, Lodi, CA 95240-4726",439000,422705
"616 Alicante Dr, Lodi, CA 95240-5607",219950,215246
"621 S Sacramento St, Lodi, CA 95240",169000,157134
"325 E Harney Ln, Lodi, CA 95240-6839",280000,274593
"311 E Harney Ln, Lodi, CA 95240-6839",320000,263028
"18 W Vine St, Lodi, CA 95240",239000,230555
"216 Hilborn St, Lodi, CA 95240-4118",229900,229013
"445 Almond Dr #37, Lodi, CA 95240-6341",115000,113983
"340 Eden St, Lodi, CA 95240-4112",184900,180910
"1828 Almondwood Pl, Lodi, CA 95240",244500,237891
"1863 Almondwood Pl, Lodi, CA 95240-8855",249900,243847
"211 Hartford Dr, Lodi, CA 95240-7895",321000,316132
"17 Sierra Vista Pl, Lodi, CA 95240-4740",249900,243386
"420 S School St, Lodi, CA 95240-4003",215000,211265
"1431 S Sacramento St, Lodi, CA 95240-6221",224000,219264
"1035 S Central Ave, Lodi, CA 95240",228000,224567
"437 Eden St, Lodi, CA 95240",169900,166973
"1300 S school, Lodi, CA 95240",249999,245376
"2514 Mercato Ln, Lodi, CA 95240-8908",299000,295695
"323 E Vine, Lodi, CA 95240",189900,188412
"549 Swallow Ln, Lodi, CA 95240-6388",309000,302705
"612 S Central ave, Lodi, CA 95240",185000,182806
"169 Mulberry Cir, Lodi, CA 95240-7158",239000,231438
"1848 Blackbird Pl, Lodi, CA 95240-8861",299000,294579
"204 Cherry St, Lodi, CA 95240-4804",319950,313265
"2139 Jayhawk, Lodi, CA 95240",340000,306505
"736 Golden Ave, Lodi, CA 95240",359000,354812
"683 Sandpiper Cir, Lodi, CA 95240-8803",295000,289206
"1035 Woodrow St, Lodi, CA 95240-4322",235000,232004
"2111 Squire Way, Lodi, CA 95240",315000,311366
"1842 Robin Ln, Lodi, CA 95240-7825",349000,342809
"442 San Pietro Ln, Lodi, CA 95240",309900,307519
"3607 Ignacio Cir, Stockton, CA 95209-3900",288800,286130
"10207 Brando Ct, Stockton, CA 95209-3910",329999,332237
"831 Rubino Ct, Stockton, CA 95209-4355",349000,345480
"3808 Des Moines Dr, Stockton, CA 95209-3756",359900,356519
"3986 Vancouver Cir, Stockton, CA 95209-3732",365000,360894
"3738 Oak Shores Dr, Stockton, CA 95209-3763",369900,368622
"4132 Black Butte Cir, Stockton, CA 95209-3502",387000,383493
"4192 MADDIE Cir, Stockton, CA 95209-3805",395000,389894
"10952 Lands End Dr, Stockton, CA 95209-4289",405000,398208
"3442 Grandi Cir, Stockton, CA 95209-3913",415000,403059
"10118 Kayla Ave, Stockton, CA 95209",442990,432471
"10808 Sand Castle Way, Stockton, CA 95209-4273",460000,442580
"3653 Mammoth Cave Cir, Stockton, CA 95209-3606",485000,474300
"10814 St Moritz Cir, Stockton, CA 95209-4357",929000,821987
"10434 Arianne Dr, Stockton, CA 95209-4377",349000,347680
"6582 Crestview Cir, Stockton, CA 95219",359000,346979
"3831 OAK SHORES DRIVE, Stockton, CA 95209",475000,465756
"10450 Tank House Dr, Stockton, CA 95209-4338",394000,391190
"10804 Tank House, Stockton, CA 95209-4342",369900,366654
"1016 Cypress Run Dr, Stockton, CA 95209-4544",349900,344830
"3470 Tupelo Dr, Stockton, CA 95209-3743",345000,342681
"10162 Macon Dr, Stockton, CA 95209-4525",332800,331071
"2444 Mystic Ct, Stockton, CA 95209-4220",329900,327340
"10331 Lombard Ct, Stockton, CA 95209",329000,322465
"10652 Siskiyou, Stockton, CA 95209",310000,309703
"1363 Green Ridge Dr, Stockton, CA 95209-4537",319500,314707
"10716 Siskiyou Ln, Stockton, CA 95209-3802",339000,331025
"10846 Arrowood Dr, Stockton, CA 95219-7202",345000,341635
"10113 Capetown Ln, Stockton, CA 95219-7255",399950,392982
"10749 Savoy Cir, Stockton, CA 95209-4570",460000,445780
"5334 Asbury Way, Stockton, CA 95219-7162",450000,440787
"10713 Savoy Cir, Stockton, CA 95209-4570",425000,422816
"10482 River Oaks Dr, Stockton, CA 95209-4102",379900,372619
"3641 Oak Shores Dr, Stockton, CA 95209-3763",378000,369273
"166 Villa Point Dr, Stockton, CA 95209",360415,356792
"5449 Ridgeview Cir, Stockton, CA 95219",329000,322815
"10303 Oak Crest Ct, Stockton, CA 95209-4526",320000,315581
"3477 Mesa Verde Cir, Stockton, CA 95209",499000,481859
