Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,306769.0
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,443925.125
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,210722.265625
"2407 Corbin Lane, Lodi, CA 95242",318000,212349.765625
"647 El Capitan, Lodi, CA 95242",319900,182548.8125
"717 Peach St, Lodi, CA 95242-3638",219000,93071.515625
"721 Rutledge Dr, Lodi, CA 95242",315000,197710.9375
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,596161.9375
"870 Rutledge Dr., Lodi, CA 95242",185000,86721.5
"910 Tehama Dr, Lodi, CA 95242-9553",595000,333417.96875
"2069 Incline, Lodi, CA 95242",528000,349299.0625
"2570 Legacy Way, Lodi, CA 95242-4821",515000,309825.5625
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,412820.03125
"2530 Legacy Way, Lodi, CA 95242",512900,289965.34375
"303 Rainier Dr, Lodi, CA 95242-2627",335000,173026.6875
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,722596.375
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,348157.6875
"1123 Dover Dr, Lodi, CA 95242-3814",309500,185719.890625
"2025 Mammoth Way, Lodi, CA 95242",728000,466304.34375
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,344400.71875
"220 S Mills Ave, Lodi, CA 95242-3140",274000,147019.796875
"900 Evert Ct, Lodi, CA 95242-3704",500000,285043.28125
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,312771.21875
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,104945.921875
"1701 Holly Dr, Lodi, CA 95242-2430",307000,165161.046875
"1705 Providence Way, Lodi, CA 95242-4745",499000,339464.0625
"300 Westwood Ave, Lodi, CA 95242-2451",249999,137530.171875
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,319002.5625
"1811 Newport Dr, Lodi, CA 95242",333000,188555.859375
"1203 Vienna Drive, Lodi, CA 95242",730000,436101.0625
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,182631.328125
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,211183.640625
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,272333.78125
"955 Virginia Ave, Lodi, CA 95242-3583",439950,259058.5625
"1701 Normandy Ln, Lodi, CA 95242",399950,215316.8125
"818 Cheney Ct, Lodi, CA 95242-3507",664999,466583.75
