Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,345627.863438
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,471936.927306
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,226492.33468
"2407 Corbin Lane, Lodi, CA 95242",318000,194521.347674
"647 El Capitan, Lodi, CA 95242",319900,195730.166721
"717 Peach St, Lodi, CA 95242-3638",219000,129116.207185
"721 Rutledge Dr, Lodi, CA 95242",315000,194098.932466
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,608701.374892
"870 Rutledge Dr., Lodi, CA 95242",185000,106960.631669
"910 Tehama Dr, Lodi, CA 95242-9553",595000,375141.3045
"2069 Incline, Lodi, CA 95242",528000,333845.245027
"2570 Legacy Way, Lodi, CA 95242-4821",515000,323482.412581
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,442738.757579
"2530 Legacy Way, Lodi, CA 95242",512900,322269.665983
"303 Rainier Dr, Lodi, CA 95242-2627",335000,205654.104561
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,745901.406139
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,362410.978854
"1123 Dover Dr, Lodi, CA 95242-3814",309500,189005.560427
"2025 Mammoth Way, Lodi, CA 95242",728000,462007.075698
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,314997.467071
"220 S Mills Ave, Lodi, CA 95242-3140",274000,165714.823805
"900 Evert Ct, Lodi, CA 95242-3704",500000,314784.196362
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,296905.744297
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,116375.689551
"1701 Holly Dr, Lodi, CA 95242-2430",307000,187195.718995
"1705 Providence Way, Lodi, CA 95242-4745",499000,314758.218586
"300 Westwood Ave, Lodi, CA 95242-2451",249999,150454.839336
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,328201.351512
"1811 Newport Dr, Lodi, CA 95242",333000,204427.00032
"1203 Vienna Drive, Lodi, CA 95242",730000,463417.368608
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,214720.535954
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,218661.163415
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,261039.385699
"955 Virginia Ave, Lodi, CA 95242-3583",439950,274725.630223
