Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,525359.695381
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,711468.738261
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,357182.58806
"2407 Corbin Lane, Lodi, CA 95242",318000,313352.21997
"647 El Capitan, Lodi, CA 95242",319900,314920.239766
"717 Peach St, Lodi, CA 95242-3638",219000,216725.092545
"721 Rutledge Dr, Lodi, CA 95242",315000,309394.496181
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,897169.311391
"870 Rutledge Dr., Lodi, CA 95242",185000,185585.893649
"910 Tehama Dr, Lodi, CA 95242-9553",595000,568621.386351
"2069 Incline, Lodi, CA 95242",528000,513524.418078
"2570 Legacy Way, Lodi, CA 95242-4821",515000,498545.335265
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,667887.977906
"2530 Legacy Way, Lodi, CA 95242",512900,496270.408967
"303 Rainier Dr, Lodi, CA 95242-2627",335000,330026.782468
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,1080294.01715
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,550222.790698
"1123 Dover Dr, Lodi, CA 95242-3814",309500,304499.788719
"2025 Mammoth Way, Lodi, CA 95242",728000,694999.556977
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,485778.910648
"220 S Mills Ave, Lodi, CA 95242-3140",274000,271923.644595
"900 Evert Ct, Lodi, CA 95242-3704",500000,482906.776538
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,457918.987392
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,199720.727929
"1701 Holly Dr, Lodi, CA 95242-2430",307000,302637.651102
"1705 Providence Way, Lodi, CA 95242-4745",499000,485859.355944
"300 Westwood Ave, Lodi, CA 95242-2451",249999,249468.948766
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,502623.313526
"1811 Newport Dr, Lodi, CA 95242",333000,328089.79984
"1203 Vienna Drive, Lodi, CA 95242",730000,696756.130798
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,342195.710892
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,348569.05454
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,409499.697188
"955 Virginia Ave, Lodi, CA 95242-3583",439950,429215.907113
"1701 Normandy Ln, Lodi, CA 95242",399950,390396.404046
"818 Cheney Ct, Lodi, CA 95242-3507",664999,635626.716456
"701 W Tokay St, Lodi, CA 95240-3925",420000,401723.949879
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,504949.00453
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,302534.548616
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,107782.85644
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,192360.411224
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,280904.183266
"1731 S School St, Lodi, CA 95240-6248",268500,262225.150497
"301 Olive Ct, Lodi, CA 95240-1120",219000,216910.861934
"500 Gerard Dr, Lodi, CA 95242",335000,326391.899162
"2111 Newbury Cir, Lodi, CA 95240",269900,263988.488923
"1333 Robinson Ln, Lodi, CA 95242-3929",265000,262341.284431
"2116 Newbury Cir, Lodi, CA 95240",262500,258086.477487
"310 Palm Ave, Lodi, CA 95240-1131",299999,294644.878191
"1310 S Church St, Lodi, CA 95240-5716",265000,259106.260504
"2250 Scarborough Dr #68, Lodi, CA 95240-6654",167000,165014.243133
"811 S California St, Lodi, CA 95240-4622",299000,292311.007028
"2306 S Ham, Lodi, CA 95242",359900,354035.936369
"1002 Pinot Noir Dr, Lodi, CA 95240-7423",349900,340044.411031
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,521877.07721
"708 S Church St, Lodi, CA 95240-4727",312000,307748.906194
"651 Grant Ave, Lodi, CA 95240-0907",338000,328139.447688
"137 S Ham Ln, Lodi, CA 95242",249000,244209.555783
"701 N Roper Ave, Lodi, CA 95240-0925",270000,265982.797658
"1005 S Pleasant Ave, Lodi, CA 95240",269950,265038.859657
"418 N ham Ln, Lodi, CA 95242",269950,267298.998117
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,200300.904997
"500 S Orange, Lodi, CA 95240",282500,278379.934156
"1121 S School St, Lodi, CA 95240-5706",349000,340452.337848
"719 W Vine, Lodi, CA 95240",294888,289199.026383
"1608 Brandywine Ct, Lodi, CA 95240-7401",349000,341684.981943
"216 N Hutchins St, Lodi, CA 95240-1920",285000,276560.959003
"1495 Centennial Dr, Lodi, CA 95242-4701",659500,634486.146318
"1619 S Church St, Lodi, CA 95240-6205",249500,248568.769855
"910 York St, Lodi, CA 95240-5103",274900,271606.901121
"1235 S Pleasant Ave, Lodi, CA 95240-5725",250000,245989.291164
"1209 S Fairmont Ave, Lodi, CA 95240-5518",289000,285601.239369
"20 S Ham Ln, Lodi, CA 95242-3001",299000,296381.492139
"741 S Church St, Lodi, CA 95240-4726",439000,423717.600716
"616 Alicante Dr, Lodi, CA 95240-5607",219950,216702.035211
"621 S Sacramento St, Lodi, CA 95240",169000,159186.755215
"325 E Harney Ln, Lodi, CA 95240-6839",280000,274222.347643
"311 E Harney Ln, Lodi, CA 95240-6839",320000,303093.161716
