Address,Listing Price,Predicted Selling Price
"818 Cheney Ct, Lodi, CA 95242-3507",664999,425000
"621 S Sacramento St, Lodi, CA 95240",169000,265000
"200 S ORANGE Ave, Lodi, CA 95240",490000,425000
"429 Eden St, Lodi, CA 95240-4205",179000,265000
"906 S Central Ave, Lodi, CA 95240-5302",319000,425000
"2351 Hyde Park, Lodi, CA 95242-3249",369000,270000
"1236 S School St, Lodi, CA 95240-5743",294950,185000
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,185000
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,899000
"1130 WOODROW St, Lodi, CA 95240",215000,270000
"37 N Corinth Ave, Lodi, CA 95242",300000,270000
"115 E Walnut St, Lodi, CA 95240-2924",224950,270000
"606 Carlo, Lodi, CA 95240",344950,270000
"18 W Vine St, Lodi, CA 95240",239000,270000
"801 N California St, Lodi, CA 95240-1006",245000,270000
"336 Shady Acres, Lodi, CA 95242-3333",399950,300000
"301 Olive Ct, Lodi, CA 95240-1120",234000,370000
"500 Gerard Dr, Lodi, CA 95242",340000,300000
"1363 Lakeshore Dr, Lodi, CA 95242-3937",599000,340000
"105 S Orange Ave, Lodi, CA 95240-3327",470000,370000
"216 Hilborn St, Lodi, CA 95240-4118",229900,255000
"322 La Setta Dr, Lodi, CA 95242-3318",539000,300000
"436-1/2 FLORA ST., Lodi, CA 95240",127000,200000
"7 N Wellington Way, Lodi, CA 95242-3033",290000,225000
"340 Eden St, Lodi, CA 95240-4112",184900,200000
"630 Rutledge Dr, Lodi, CA 95242",344750,300000
"206 Charles St, Lodi, CA 95240-5927",219000,240000
"1123 Dover Dr, Lodi, CA 95242-3814",329000,195000
"526 Howard St, Lodi, CA 95242",299950,225000
"708 Holly Dr, Lodi, CA 95240-1941",375000,370000
"310 Palm Ave, Lodi, CA 95240-1131",334000,200000
"1310 S Church St, Lodi, CA 95240-5716",274950,240000
"932 Rutledge Dr, Lodi, CA 95242-2142",174989,118000
"400 W Vine St, Lodi, CA 95240-5212",319000,370000
"17 Sierra Vista Pl, Lodi, CA 95240-4740",264900,255000
"811 S California St, Lodi, CA 95240-4622",305000,370000
"647 Ana St, Lodi, CA 95240-4301",224000,255000
"2407 Corbin Lane, Lodi, CA 95242",318000,300000
"701 W Tokay St, Lodi, CA 95240-3925",420000,425000
"2345 Wintergreen Ct, Lodi, CA 95242",825000,340000
"333 W Locust St, Lodi, CA 95240-2015",439500,370000
"220 S Mills Ave, Lodi, CA 95242-3140",299950,300000
"721 Rutledge Dr, Lodi, CA 95242",315000,195000
"900 Evert Ct, Lodi, CA 95242-3704",500000,300000
"870 Rutledge Dr., Lodi, CA 95242",185000,118000
"1628 Magic Ln, Lodi, CA 95242",539000,195000
"1518 Vista Dr, Lodi, CA 95242-3589",345000,225000
"848 N Ham Ln, Lodi, CA 95242-2316",319950,195000
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,195000
"215 N Fairmont Ave, Lodi, CA 95240-1819",419000,370000
"1701 Holly Dr, Lodi, CA 95242-2430",307000,225000
"420 S School St, Lodi, CA 95240-4003",215000,200000
"647 El Capitan, Lodi, CA 95242",329000,300000
"2120 W Lodi Ave, Lodi, CA 95242-3222",369900,225000
"103 De Force Ave, Lodi, CA 95240-1217",229900,200000
"300 N Fairmont Ave, Lodi, CA 95240-1606",243500,240000
"300 Westwood Ave, Lodi, CA 95242-2451",249999,225000
"708 S Church St, Lodi, CA 95240-4727",349500,370000
"421 Charleston Way, Lodi, CA 95242",409000,225000
"1549 W Vine St, Lodi, CA 95242-3863",375000,225000
"651 Grant Ave, Lodi, CA 95240-0907",338000,200000
"137 S Ham Ln, Lodi, CA 95242",249000,225000
"1035 S Central Ave, Lodi, CA 95240",243000,265000
"437 Eden St, Lodi, CA 95240",179900,265000
"701 N Roper Ave, Lodi, CA 95240-0925",270000,265000
"107 W Lockeford St, Lodi, CA 95240-2108",399000,265000
"625 N Church St #15, Lodi, CA 95240-1288",99900,123000
"424 E Lodi Ave, Lodi, CA 95240-2913",199900,265000
"2141 W Walnut St, Lodi, CA 95242",329000,270000
"1005 S Pleasant Ave, Lodi, CA 95240",269950,265000
"1300 S school, Lodi, CA 95240",259900,265000
"107 Benson Dr, Lodi, CA 95242-3244",329950,270000
"403 Olive Ct, Lodi, CA 95240-1042",190000,265000
"418 N ham Ln, Lodi, CA 95242",269950,305000
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,265000
"2118 W Elm St, Lodi, CA 95242-2821",314925,329654
"2367 Hyde Park Cir, Lodi, CA 95242-3249",369000,340000
"500 S Orange, Lodi, CA 95240",305000,265000
"1706 W Lockeford St, Lodi, CA 95242-2514",269900,305000
"323 E Vine, Lodi, CA 95240",222300,265000
