Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,540341
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,728403
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,363674
"2407 Corbin Lane, Lodi, CA 95242",318000,315905
"647 El Capitan, Lodi, CA 95242",319900,317766
"717 Peach St, Lodi, CA 95242-3638",219000,218818
"721 Rutledge Dr, Lodi, CA 95242",315000,311483
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,925961
"870 Rutledge Dr., Lodi, CA 95242",185000,186315
"910 Tehama Dr, Lodi, CA 95242-9553",595000,584907
"2069 Incline, Lodi, CA 95242",528000,521531
"2570 Legacy Way, Lodi, CA 95242-4821",515000,507861
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,685809
"2530 Legacy Way, Lodi, CA 95242",512900,505741
"303 Rainier Dr, Lodi, CA 95242-2627",335000,332726
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,1117669
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,565210
"1123 Dover Dr, Lodi, CA 95242-3814",309500,306703
"2025 Mammoth Way, Lodi, CA 95242",728000,713961
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,493268
"220 S Mills Ave, Lodi, CA 95242-3140",274000,273574
"900 Evert Ct, Lodi, CA 95242-3704",500000,493818
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,469943
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,200105
"1701 Holly Dr, Lodi, CA 95242-2430",307000,305162
"1705 Providence Way, Lodi, CA 95242-4745",499000,493179
"300 Westwood Ave, Lodi, CA 95242-2451",249999,248853
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,516123
"1811 Newport Dr, Lodi, CA 95242",333000,330761
"1203 Vienna Drive, Lodi, CA 95242",730000,716441
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,345657
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,351999
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,414625
"955 Virginia Ave, Lodi, CA 95242-3583",439950,435009
"1701 Normandy Ln, Lodi, CA 95242",399950,395130
"818 Cheney Ct, Lodi, CA 95242-3507",664999,654935
"701 W Tokay St, Lodi, CA 95240-3925",420000,415431
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,517605
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,308372
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,110856
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,198632
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,286758
"1731 S School St, Lodi, CA 95240-6248",268500,267528
"301 Olive Ct, Lodi, CA 95240-1120",219000,220115
"500 Gerard Dr, Lodi, CA 95242",335000,331848
"2111 Newbury Cir, Lodi, CA 95240",269900,268512
"1333 Robinson Ln, Lodi, CA 95242-3929",265000,264346
"2116 Newbury Cir, Lodi, CA 95240",262500,261299
"310 Palm Ave, Lodi, CA 95240-1131",299999,296886
"1310 S Church St, Lodi, CA 95240-5716",265000,263476
"2250 Scarborough Dr #68, Lodi, CA 95240-6654",167000,168228
"811 S California St, Lodi, CA 95240-4622",299000,296654
"2306 S Ham, Lodi, CA 95242",359900,357788
"1002 Pinot Noir Dr, Lodi, CA 95240-7423",349900,347159
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,535750
"708 S Church St, Lodi, CA 95240-4727",312000,311241
"651 Grant Ave, Lodi, CA 95240-0907",338000,334510
"137 S Ham Ln, Lodi, CA 95242",249000,248355
"701 N Roper Ave, Lodi, CA 95240-0925",270000,268773
"1005 S Pleasant Ave, Lodi, CA 95240",269950,268247
"418 N ham Ln, Lodi, CA 95242",269950,267817
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,199304
"500 S Orange, Lodi, CA 95240",282500,280739
"1121 S School St, Lodi, CA 95240-5706",349000,346262
"719 W Vine, Lodi, CA 95240",294888,292672
"1608 Brandywine Ct, Lodi, CA 95240-7401",349000,346862
"216 N Hutchins St, Lodi, CA 95240-1920",285000,283393
"1495 Centennial Dr, Lodi, CA 95242-4701",659500,648805
