Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,534151.362324
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,749702.659168
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,359429.875529
"2407 Corbin Lane, Lodi, CA 95242",318000,307485.74257
"647 El Capitan, Lodi, CA 95242",319900,311737.189073
"717 Peach St, Lodi, CA 95242-3638",219000,204271.071846
"721 Rutledge Dr, Lodi, CA 95242",315000,296217.808029
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,860900.848156
"870 Rutledge Dr., Lodi, CA 95242",185000,178529.571627
"910 Tehama Dr, Lodi, CA 95242-9553",595000,532324.989682
"2069 Incline, Lodi, CA 95242",528000,503294.910725
"2570 Legacy Way, Lodi, CA 95242-4821",515000,499049.598124
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,644773.85053
"2530 Legacy Way, Lodi, CA 95242",512900,501240.659646
"303 Rainier Dr, Lodi, CA 95242-2627",335000,323133.771696
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,885590.86623
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,571619.18712
"1123 Dover Dr, Lodi, CA 95242-3814",309500,298227.504619
"2025 Mammoth Way, Lodi, CA 95242",728000,646324.065838
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,492236.943459
"220 S Mills Ave, Lodi, CA 95242-3140",274000,266081.101826
"900 Evert Ct, Lodi, CA 95242-3704",500000,488456.917588
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,462418.727817
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,193176.614313
"1701 Holly Dr, Lodi, CA 95242-2430",307000,299441.601383
"1705 Providence Way, Lodi, CA 95242-4745",499000,492192.497561
"300 Westwood Ave, Lodi, CA 95242-2451",249999,244736.436559
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,499294.212047
"1811 Newport Dr, Lodi, CA 95242",333000,323627.682525
"1203 Vienna Drive, Lodi, CA 95242",730000,651304.924923
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,343478.14962
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,343652.371878
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,407060.933485
"955 Virginia Ave, Lodi, CA 95242-3583",439950,426975.825259
"1701 Normandy Ln, Lodi, CA 95242",399950,398678.762578
"818 Cheney Ct, Lodi, CA 95242-3507",664999,651454.147468
"701 W Tokay St, Lodi, CA 95240-3925",420000,396406.805826
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,501143.612502
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,291198.447287
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,107298.147054
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,188840.13486
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,272887.765514
"1731 S School St, Lodi, CA 95240-6248",268500,260653.069875
"301 Olive Ct, Lodi, CA 95240-1120",219000,209682.303505
"500 Gerard Dr, Lodi, CA 95242",335000,320214.67535
"2111 Newbury Cir, Lodi, CA 95240",269900,265195.709894
"1333 Robinson Ln, Lodi, CA 95242-3929",265000,262556.257228
"2116 Newbury Cir, Lodi, CA 95240",262500,253100.024671
"310 Palm Ave, Lodi, CA 95240-1131",299999,287415.467494
"1310 S Church St, Lodi, CA 95240-5716",265000,261263.247926
"2250 Scarborough Dr #68, Lodi, CA 95240-6654",167000,157471.479862
"811 S California St, Lodi, CA 95240-4622",299000,293112.754048
"2306 S Ham, Lodi, CA 95242",359900,358315.859779
"1002 Pinot Noir Dr, Lodi, CA 95240-7423",349900,341410.310051
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,514528.872068
"708 S Church St, Lodi, CA 95240-4727",312000,300668.290952
"651 Grant Ave, Lodi, CA 95240-0907",338000,327070.613163
"137 S Ham Ln, Lodi, CA 95242",249000,243473.634453
"701 N Roper Ave, Lodi, CA 95240-0925",270000,267217.388993
"1005 S Pleasant Ave, Lodi, CA 95240",269950,266226.186235
"418 N ham Ln, Lodi, CA 95242",269950,264573.990538
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,197632.555413
"500 S Orange, Lodi, CA 95240",282500,280917.268271
