Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,524114.1875
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,705799.3125
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,353710.96875
"2407 Corbin Lane, Lodi, CA 95242",318000,307813.78125
"647 El Capitan, Lodi, CA 95242",319900,309921.46875
"717 Peach St, Lodi, CA 95242-3638",219000,210521.09375
"721 Rutledge Dr, Lodi, CA 95242",315000,304686.28125
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,899765.25
"870 Rutledge Dr., Lodi, CA 95242",185000,180202.875
"910 Tehama Dr, Lodi, CA 95242-9553",595000,567715.4375
"2069 Incline, Lodi, CA 95242",528000,506109.96875
"2570 Legacy Way, Lodi, CA 95242-4821",515000,493617.5
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,665223.8125
"2530 Legacy Way, Lodi, CA 95242",512900,491541.59375
"303 Rainier Dr, Lodi, CA 95242-2627",335000,324860.125
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,1084607.75
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,547937.0625
"1123 Dover Dr, Lodi, CA 95242-3814",309500,299441.34375
"2025 Mammoth Way, Lodi, CA 95242",728000,691131.4375
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,478492.84375
"220 S Mills Ave, Lodi, CA 95242-3140",274000,265538.625
"900 Evert Ct, Lodi, CA 95242-3704",500000,479293.96875
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,453406.28125
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,193256.0
"1701 Holly Dr, Lodi, CA 95242-2430",307000,297867.90625
"1705 Providence Way, Lodi, CA 95242-4745",499000,478585.03125
"300 Westwood Ave, Lodi, CA 95242-2451",249999,243109.3125
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,498294.375
"1811 Newport Dr, Lodi, CA 95242",333000,322663.375
"1203 Vienna Drive, Lodi, CA 95242",730000,694525.8125
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,337539.9375
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,342872.65625
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,403583.53125
"955 Virginia Ave, Lodi, CA 95242-3583",439950,423258.75
"1701 Normandy Ln, Lodi, CA 95242",399950,385516.0625
"818 Cheney Ct, Lodi, CA 95242-3507",664999,630168.6875
"701 W Tokay St, Lodi, CA 95240-3925",420000,401753.71875
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,500154.40625
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,297681.28125
