Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,525435.073253
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,711544.116133
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,357257.965932
"2407 Corbin Lane, Lodi, CA 95242",318000,313427.597842
"647 El Capitan, Lodi, CA 95242",319900,314995.617638
"717 Peach St, Lodi, CA 95242-3638",219000,216800.470417
"721 Rutledge Dr, Lodi, CA 95242",315000,309469.874053
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,897244.689262
"870 Rutledge Dr., Lodi, CA 95242",185000,185661.271521
"910 Tehama Dr, Lodi, CA 95242-9553",595000,568696.764223
"2069 Incline, Lodi, CA 95242",528000,513599.79595
"2570 Legacy Way, Lodi, CA 95242-4821",515000,498620.713137
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,667963.355778
"2530 Legacy Way, Lodi, CA 95242",512900,496345.786839
"303 Rainier Dr, Lodi, CA 95242-2627",335000,330102.16034
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,1080369.39502
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,550298.16857
"1123 Dover Dr, Lodi, CA 95242-3814",309500,304575.166591
"2025 Mammoth Way, Lodi, CA 95242",728000,695074.934848
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,485854.28852
"220 S Mills Ave, Lodi, CA 95242-3140",274000,271999.022467
"900 Evert Ct, Lodi, CA 95242-3704",500000,482982.15441
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,457994.365264
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,199796.105801
"1701 Holly Dr, Lodi, CA 95242-2430",307000,302713.028974
"1705 Providence Way, Lodi, CA 95242-4745",499000,485934.733816
"300 Westwood Ave, Lodi, CA 95242-2451",249999,249544.326638
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,502698.691398
"1811 Newport Dr, Lodi, CA 95242",333000,328165.177712
"1203 Vienna Drive, Lodi, CA 95242",730000,696831.50867
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,342271.088764
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,348644.432412
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,409575.07506
"955 Virginia Ave, Lodi, CA 95242-3583",439950,429291.284985
"1701 Normandy Ln, Lodi, CA 95242",399950,390471.781918
"818 Cheney Ct, Lodi, CA 95242-3507",664999,635702.094328
"701 W Tokay St, Lodi, CA 95240-3925",420000,401799.327751
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,505024.382402
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,302609.926488
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,107858.234312
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,192435.789096
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,280979.561138
"1731 S School St, Lodi, CA 95240-6248",268500,262300.528369
"301 Olive Ct, Lodi, CA 95240-1120",219000,216986.239806
"500 Gerard Dr, Lodi, CA 95242",335000,326467.277034
"2111 Newbury Cir, Lodi, CA 95240",269900,264063.866795
"1333 Robinson Ln, Lodi, CA 95242-3929",265000,262416.662303
"2116 Newbury Cir, Lodi, CA 95240",262500,258161.855359
"310 Palm Ave, Lodi, CA 95240-1131",299999,294720.256063
"1310 S Church St, Lodi, CA 95240-5716",265000,259181.638376
"2250 Scarborough Dr #68, Lodi, CA 95240-6654",167000,165089.621005
"811 S California St, Lodi, CA 95240-4622",299000,292386.3849
"2306 S Ham, Lodi, CA 95242",359900,354111.314241
"1002 Pinot Noir Dr, Lodi, CA 95240-7423",349900,340119.788903
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,521952.455082
"708 S Church St, Lodi, CA 95240-4727",312000,307824.284066
"651 Grant Ave, Lodi, CA 95240-0907",338000,328214.82556
"137 S Ham Ln, Lodi, CA 95242",249000,244284.933655
"701 N Roper Ave, Lodi, CA 95240-0925",270000,266058.17553
"1005 S Pleasant Ave, Lodi, CA 95240",269950,265114.237529
"418 N ham Ln, Lodi, CA 95242",269950,267374.375989
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,200376.282869
"500 S Orange, Lodi, CA 95240",282500,278455.312028
"1121 S School St, Lodi, CA 95240-5706",349000,340527.71572
"719 W Vine, Lodi, CA 95240",294888,289274.404254
"1608 Brandywine Ct, Lodi, CA 95240-7401",349000,341760.359815
"216 N Hutchins St, Lodi, CA 95240-1920",285000,276636.336875
"1495 Centennial Dr, Lodi, CA 95242-4701",659500,634561.52419
"1619 S Church St, Lodi, CA 95240-6205",249500,248644.147727
"910 York St, Lodi, CA 95240-5103",274900,271682.278993
"1235 S Pleasant Ave, Lodi, CA 95240-5725",250000,246064.669036
"1209 S Fairmont Ave, Lodi, CA 95240-5518",289000,285676.617241
"20 S Ham Ln, Lodi, CA 95242-3001",299000,296456.870011
"741 S Church St, Lodi, CA 95240-4726",439000,423792.978588
"616 Alicante Dr, Lodi, CA 95240-5607",219950,216777.413083
"621 S Sacramento St, Lodi, CA 95240",169000,159262.133087
"325 E Harney Ln, Lodi, CA 95240-6839",280000,274297.725515
"311 E Harney Ln, Lodi, CA 95240-6839",320000,303168.539588
"18 W Vine St, Lodi, CA 95240",239000,235036.69953
"216 Hilborn St, Lodi, CA 95240-4118",229900,227641.946866
"445 Almond Dr #37, Lodi, CA 95240-6341",115000,115732.990902
"340 Eden St, Lodi, CA 95240-4112",184900,184067.777691
"1828 Almondwood Pl, Lodi, CA 95240",244500,241743.501413
"1863 Almondwood Pl, Lodi, CA 95240-8855",249900,246949.641498
"211 Hartford Dr, Lodi, CA 95240-7895",321000,312637.736514
"17 Sierra Vista Pl, Lodi, CA 95240-4740",249900,245063.196313
"420 S School St, Lodi, CA 95240-4003",215000,213070.355071
"1431 S Sacramento St, Lodi, CA 95240-6221",224000,222929.309445
"1035 S Central Ave, Lodi, CA 95240",228000,225692.550029
"437 Eden St, Lodi, CA 95240",169900,170759.2107
"1300 S school, Lodi, CA 95240",249999,247017.536523
