Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,533712.183766
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,766418.527542
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,360037.76761
"2407 Corbin Lane, Lodi, CA 95242",318000,309475.291973
"647 El Capitan, Lodi, CA 95242",319900,312987.835955
"717 Peach St, Lodi, CA 95242-3638",219000,207762.97942
"721 Rutledge Dr, Lodi, CA 95242",315000,305493.284791
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,832910.900227
"870 Rutledge Dr., Lodi, CA 95242",185000,183047.687175
"910 Tehama Dr, Lodi, CA 95242-9553",595000,563503.086833
"2069 Incline, Lodi, CA 95242",528000,498064.269951
"2570 Legacy Way, Lodi, CA 95242-4821",515000,495801.397947
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,651646.1096
"2530 Legacy Way, Lodi, CA 95242",512900,497027.999531
"303 Rainier Dr, Lodi, CA 95242-2627",335000,326212.205499
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,848628.662132
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,571389.404032
"1123 Dover Dr, Lodi, CA 95242-3814",309500,301327.637576
"2025 Mammoth Way, Lodi, CA 95242",728000,669668.256115
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,489126.935954
"220 S Mills Ave, Lodi, CA 95242-3140",274000,267041.762192
"900 Evert Ct, Lodi, CA 95242-3704",500000,489919.007644
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,462349.027798
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,192015.003884
"1701 Holly Dr, Lodi, CA 95242-2430",307000,301587.204983
"1705 Providence Way, Lodi, CA 95242-4745",499000,489338.4122
"300 Westwood Ave, Lodi, CA 95242-2451",249999,245032.795212
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,496938.436322
"1811 Newport Dr, Lodi, CA 95242",333000,325135.435918
"1203 Vienna Drive, Lodi, CA 95242",730000,670882.646818
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,339175.526389
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,344701.680631
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,409598.667781
"955 Virginia Ave, Lodi, CA 95242-3583",439950,423823.355007
"1701 Normandy Ln, Lodi, CA 95242",399950,403376.953575
"818 Cheney Ct, Lodi, CA 95242-3507",664999,647560.929735
"701 W Tokay St, Lodi, CA 95240-3925",420000,407990.936619
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,490713.438691
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,297069.278679
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,105324.854436
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,187945.519707
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,281087.90309
"1731 S School St, Lodi, CA 95240-6248",268500,263344.481806
"301 Olive Ct, Lodi, CA 95240-1120",219000,213391.770301
"500 Gerard Dr, Lodi, CA 95242",335000,317673.579691
"2111 Newbury Cir, Lodi, CA 95240",269900,265009.08553
"1333 Robinson Ln, Lodi, CA 95242-3929",265000,262886.796563
"2116 Newbury Cir, Lodi, CA 95240",262500,253568.65377
"310 Palm Ave, Lodi, CA 95240-1131",299999,292530.527575
"1310 S Church St, Lodi, CA 95240-5716",265000,262534.921389
"2250 Scarborough Dr #68, Lodi, CA 95240-6654",167000,160243.067095
"811 S California St, Lodi, CA 95240-4622",299000,292522.610941
"2306 S Ham, Lodi, CA 95242",359900,358677.491933
"1002 Pinot Noir Dr, Lodi, CA 95240-7423",349900,338499.061419
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,514530.926285
"708 S Church St, Lodi, CA 95240-4727",312000,303651.503347
"651 Grant Ave, Lodi, CA 95240-0907",338000,327581.736742
"137 S Ham Ln, Lodi, CA 95242",249000,244243.975272
"701 N Roper Ave, Lodi, CA 95240-0925",270000,267491.384466
"1005 S Pleasant Ave, Lodi, CA 95240",269950,266790.81679
"418 N ham Ln, Lodi, CA 95242",269950,266852.909654
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,194775.350921
"500 S Orange, Lodi, CA 95240",282500,280528.928116
"1121 S School St, Lodi, CA 95240-5706",349000,338105.947845
"719 W Vine, Lodi, CA 95240",294888,292937.007629
"1608 Brandywine Ct, Lodi, CA 95240-7401",349000,338964.132609
"216 N Hutchins St, Lodi, CA 95240-1920",285000,280530.095947
"1495 Centennial Dr, Lodi, CA 95242-4701",659500,624890.805286
"1619 S Church St, Lodi, CA 95240-6205",249500,245600.521053
"910 York St, Lodi, CA 95240-5103",274900,268955.688269
"1235 S Pleasant Ave, Lodi, CA 95240-5725",250000,245531.935608
"1209 S Fairmont Ave, Lodi, CA 95240-5518",289000,283189.282433
"20 S Ham Ln, Lodi, CA 95242-3001",299000,295091.665037
"741 S Church St, Lodi, CA 95240-4726",439000,424799.432334
"616 Alicante Dr, Lodi, CA 95240-5607",219950,216801.367642
"621 S Sacramento St, Lodi, CA 95240",169000,168377.428154
"325 E Harney Ln, Lodi, CA 95240-6839",280000,270585.677462
"311 E Harney Ln, Lodi, CA 95240-6839",320000,293475.318332
"18 W Vine St, Lodi, CA 95240",239000,232159.643378
"216 Hilborn St, Lodi, CA 95240-4118",229900,224720.639729
"445 Almond Dr #37, Lodi, CA 95240-6341",115000,116821.100451
"340 Eden St, Lodi, CA 95240-4112",184900,182514.570633
"1828 Almondwood Pl, Lodi, CA 95240",244500,236199.968047
"1863 Almondwood Pl, Lodi, CA 95240-8855",249900,244312.652081
"211 Hartford Dr, Lodi, CA 95240-7895",321000,315962.643698
"17 Sierra Vista Pl, Lodi, CA 95240-4740",249900,243920.666184
"420 S School St, Lodi, CA 95240-4003",215000,205124.479778
"1431 S Sacramento St, Lodi, CA 95240-6221",224000,221100.257284
"1035 S Central Ave, Lodi, CA 95240",228000,220353.386917
"437 Eden St, Lodi, CA 95240",169900,167788.238631
"1300 S school, Lodi, CA 95240",249999,244956.954657
"2514 Mercato Ln, Lodi, CA 95240-8908",299000,294628.558893
"323 E Vine, Lodi, CA 95240",189900,189361.703856
"549 Swallow Ln, Lodi, CA 95240-6388",309000,305239.956083
"612 S Central ave, Lodi, CA 95240",185000,183723.792308
"169 Mulberry Cir, Lodi, CA 95240-7158",239000,232433.061277
"1848 Blackbird Pl, Lodi, CA 95240-8861",299000,295444.847764
"204 Cherry St, Lodi, CA 95240-4804",319950,315128.839246
"2139 Jayhawk, Lodi, CA 95240",340000,327416.547505
"736 Golden Ave, Lodi, CA 95240",359000,360209.694116
"683 Sandpiper Cir, Lodi, CA 95240-8803",295000,293879.857332
"1035 Woodrow St, Lodi, CA 95240-4322",235000,229333.048503
"2111 Squire Way, Lodi, CA 95240",315000,308922.599929
"1842 Robin Ln, Lodi, CA 95240-7825",349000,339252.646273
"442 San Pietro Ln, Lodi, CA 95240",309900,306836.030618
