Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,534914.621741
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,752990.924036
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,360067.839012
"2407 Corbin Lane, Lodi, CA 95242",318000,311391.852182
"647 El Capitan, Lodi, CA 95242",319900,314022.16038
"717 Peach St, Lodi, CA 95242-3638",219000,207603.157938
"721 Rutledge Dr, Lodi, CA 95242",315000,306021.410569
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,830556.544218
"870 Rutledge Dr., Lodi, CA 95242",185000,182515.591036
"910 Tehama Dr, Lodi, CA 95242-9553",595000,560458.557021
"2069 Incline, Lodi, CA 95242",528000,498082.69549
"2570 Legacy Way, Lodi, CA 95242-4821",515000,496254.515402
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,649438.361968
"2530 Legacy Way, Lodi, CA 95242",512900,497130.738767
"303 Rainier Dr, Lodi, CA 95242-2627",335000,325920.465355
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,842980.163265
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,572107.274128
"1123 Dover Dr, Lodi, CA 95242-3814",309500,301943.444302
"2025 Mammoth Way, Lodi, CA 95242",728000,675194.761736
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,488824.765239
"220 S Mills Ave, Lodi, CA 95242-3140",274000,267113.321402
"900 Evert Ct, Lodi, CA 95242-3704",500000,489676.21226
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,462764.570233
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,191666.982318
"1701 Holly Dr, Lodi, CA 95242-2430",307000,302651.897664
"1705 Providence Way, Lodi, CA 95242-4745",499000,488954.831999
"300 Westwood Ave, Lodi, CA 95242-2451",249999,245121.620158
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,496983.721783
"1811 Newport Dr, Lodi, CA 95242",333000,325157.366613
"1203 Vienna Drive, Lodi, CA 95242",730000,675098.150819
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,339025.233444
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,344723.470398
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,408692.631405
"955 Virginia Ave, Lodi, CA 95242-3583",439950,423786.61752
"1701 Normandy Ln, Lodi, CA 95242",399950,402754.851705
"818 Cheney Ct, Lodi, CA 95242-3507",664999,647866.922534
"701 W Tokay St, Lodi, CA 95240-3925",420000,408767.532596
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,488894.849157
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,297363.415167
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,105546.790631
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,187790.301294
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,281724.905514
"1731 S School St, Lodi, CA 95240-6248",268500,264040.781229
"301 Olive Ct, Lodi, CA 95240-1120",219000,213317.256775
"500 Gerard Dr, Lodi, CA 95242",335000,319219.585206
"2111 Newbury Cir, Lodi, CA 95240",269900,265333.185213
"1333 Robinson Ln, Lodi, CA 95242-3929",265000,263367.682259
"2116 Newbury Cir, Lodi, CA 95240",262500,253837.172163
"310 Palm Ave, Lodi, CA 95240-1131",299999,293091.433928
"1310 S Church St, Lodi, CA 95240-5716",265000,263112.501937
"2250 Scarborough Dr #68, Lodi, CA 95240-6654",167000,160428.045863
"811 S California St, Lodi, CA 95240-4622",299000,292793.134692
"2306 S Ham, Lodi, CA 95242",359900,358382.138512
"1002 Pinot Noir Dr, Lodi, CA 95240-7423",349900,338507.776807
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,514638.183692
"708 S Church St, Lodi, CA 95240-4727",312000,304674.745691
"651 Grant Ave, Lodi, CA 95240-0907",338000,326801.463173
"137 S Ham Ln, Lodi, CA 95242",249000,244259.999953
"701 N Roper Ave, Lodi, CA 95240-0925",270000,267391.126419
"1005 S Pleasant Ave, Lodi, CA 95240",269950,266622.775169
"418 N ham Ln, Lodi, CA 95242",269950,266740.930793
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,194694.546366
"500 S Orange, Lodi, CA 95240",282500,280861.217411
"1121 S School St, Lodi, CA 95240-5706",349000,337829.118088
"719 W Vine, Lodi, CA 95240",294888,293497.748902
"1608 Brandywine Ct, Lodi, CA 95240-7401",349000,339019.502602
"216 N Hutchins St, Lodi, CA 95240-1920",285000,281095.9804
"1495 Centennial Dr, Lodi, CA 95242-4701",659500,622962.26936
"1619 S Church St, Lodi, CA 95240-6205",249500,245838.872764
"910 York St, Lodi, CA 95240-5103",274900,269009.868641
"1235 S Pleasant Ave, Lodi, CA 95240-5725",250000,245442.150213
"1209 S Fairmont Ave, Lodi, CA 95240-5518",289000,283331.203307
"20 S Ham Ln, Lodi, CA 95242-3001",299000,295545.183345
"741 S Church St, Lodi, CA 95240-4726",439000,425139.753161
"616 Alicante Dr, Lodi, CA 95240-5607",219950,216630.909099
"621 S Sacramento St, Lodi, CA 95240",169000,168784.095697
"325 E Harney Ln, Lodi, CA 95240-6839",280000,269806.19226
"311 E Harney Ln, Lodi, CA 95240-6839",320000,295061.670837
"18 W Vine St, Lodi, CA 95240",239000,231862.945532
"216 Hilborn St, Lodi, CA 95240-4118",229900,224487.946006
"445 Almond Dr #37, Lodi, CA 95240-6341",115000,116700.131884
"340 Eden St, Lodi, CA 95240-4112",184900,181968.525621
"1828 Almondwood Pl, Lodi, CA 95240",244500,236231.495967
"1863 Almondwood Pl, Lodi, CA 95240-8855",249900,244626.946405
"211 Hartford Dr, Lodi, CA 95240-7895",321000,315782.800664
"17 Sierra Vista Pl, Lodi, CA 95240-4740",249900,244271.052408
"420 S School St, Lodi, CA 95240-4003",215000,204226.848128
"1431 S Sacramento St, Lodi, CA 95240-6221",224000,221267.267732
"1035 S Central Ave, Lodi, CA 95240",228000,220312.609506
"437 Eden St, Lodi, CA 95240",169900,168121.299525
"1300 S school, Lodi, CA 95240",249999,245040.878713
"2514 Mercato Ln, Lodi, CA 95240-8908",299000,294807.224064
"323 E Vine, Lodi, CA 95240",189900,189053.887722
"549 Swallow Ln, Lodi, CA 95240-6388",309000,305305.512066
"612 S Central ave, Lodi, CA 95240",185000,183036.594844
"169 Mulberry Cir, Lodi, CA 95240-7158",239000,232221.129475
"1848 Blackbird Pl, Lodi, CA 95240-8861",299000,296014.663511
"204 Cherry St, Lodi, CA 95240-4804",319950,315493.834991
"2139 Jayhawk, Lodi, CA 95240",340000,328537.17936
"736 Golden Ave, Lodi, CA 95240",359000,357806.700336
"683 Sandpiper Cir, Lodi, CA 95240-8803",295000,294351.061846
"1035 Woodrow St, Lodi, CA 95240-4322",235000,227868.925645
"2111 Squire Way, Lodi, CA 95240",315000,308741.79983
"1842 Robin Ln, Lodi, CA 95240-7825",349000,339335.298237
"442 San Pietro Ln, Lodi, CA 95240",309900,306696.954512
