Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,280000
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,250000
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,235000
"2407 Corbin Lane, Lodi, CA 95242",318000,189000
"647 El Capitan, Lodi, CA 95242",319900,180000
"717 Peach St, Lodi, CA 95242-3638",219000,102000
"721 Rutledge Dr, Lodi, CA 95242",315000,189000
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,285000
"870 Rutledge Dr., Lodi, CA 95242",185000,90000
"910 Tehama Dr, Lodi, CA 95242-9553",595000,385000
"2069 Incline, Lodi, CA 95242",528000,267000
"2570 Legacy Way, Lodi, CA 95242-4821",515000,275000
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,430000
"2530 Legacy Way, Lodi, CA 95242",512900,312500
"303 Rainier Dr, Lodi, CA 95242-2627",335000,190000
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,285000
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,280000
"1123 Dover Dr, Lodi, CA 95242-3814",309500,186500
"2025 Mammoth Way, Lodi, CA 95242",728000,439000
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,314000
"220 S Mills Ave, Lodi, CA 95242-3140",274000,164000
"900 Evert Ct, Lodi, CA 95242-3704",500000,314000
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,308000
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,160000
"1701 Holly Dr, Lodi, CA 95242-2430",307000,190000
"1705 Providence Way, Lodi, CA 95242-4745",499000,314000
"300 Westwood Ave, Lodi, CA 95242-2451",249999,150000
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,312500
"1811 Newport Dr, Lodi, CA 95242",333000,205000
"1203 Vienna Drive, Lodi, CA 95242",730000,485000
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,225000
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,225000
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,249900
"955 Virginia Ave, Lodi, CA 95242-3583",439950,265900
"1701 Normandy Ln, Lodi, CA 95242",399950,253000
"818 Cheney Ct, Lodi, CA 95242-3507",664999,355000
"701 W Tokay St, Lodi, CA 95240-3925",420000,229000
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,335000
