Type,Address,Listing Price,Selling Price,Year Built,Square Feet,Lot Size(AC),Listing Date,Pending Date,Sold Date,Days on Market
Sold,"2432 Brittany Ct, Lodi, CA 95242-9144",789999,790000,1999,4035,0.3919,5/10/2016,5/17/2016,6/29/2016,7
Sold,"2491 Macarthur Pkwy, Lodi, CA 95242",395000,375000,1990,2170,0.124,5/12/2016,8/5/2016,8/31/2016,77
Sold,"2490 Central Park Dr, Lodi, CA 95242-3209",399950,390000,1991,2210,0.124,12/31/2015,5/24/2016,6/24/2016,145
Sold,"2477 Central Park, Lodi, CA 95242",379000,375000,1994,1930,0.1056,7/3/2016,8/23/2016,9/28/2016,51
Sold,"308 Leland Ct, Lodi, CA 95242-3328",450000,425000,1987,1991,0.2418,7/8/2016,9/6/2016,9/30/2016,60
Sold,"2405 W Elm St, Lodi, CA 95242-2828",220000,225500,1975,1109,0.053,7/23/2016,7/25/2016,8/16/2016,2
Sold,"2424 Cochran Rd #3, Lodi, CA 95242-3656",239950,229000,1991,1416,0.0283,2/17/2016,2/17/2016,4/8/2016,0
Sold,"411 Tioga Dr, Lodi, CA 95242-2651",275000,275000,1971,1337,0.2083,7/7/2016,7/10/2016,8/5/2016,3
Sold,"2340 W Lodi Ave, Lodi, CA 95242",689000,665000,1957,3372,0.5624,2/29/2016,7/9/2016,8/10/2016,131
Sold,"2410 W Turner, Lodi, CA 95242",175000,160000,1971,910,0.0156,4/21/2016,4/27/2016,6/15/2016,6
Sold,"2352 Grenoble Dr, Lodi, CA 95242-9140",630000,605000,1989,3002,0.2892,3/9/2016,4/20/2016,5/26/2016,42
Sold,"2307 Aladdin Way, Lodi, CA 95242-2804",299950,305000,1973,1346,0.157,6/8/2016,6/14/2016,8/18/2016,6
Sold,"2332 W Turner Rd, Lodi, CA 95242-2164",175000,180750,1971,910,0.0153,8/12/2016,8/23/2016,9/22/2016,11
Sold,"2393 Central Park Dr, Lodi, CA 95242-3204",375000,365000,1989,1631,0.1171,5/27/2016,6/7/2016,7/18/2016,11
Sold,"2301 Yosemite Dr, Lodi, CA 95242",265000,265000,1965,1264,0.1515,3/28/2016,5/17/2016,6/28/2016,50
Sold,"242 Rainier Dr, Lodi, CA 95242-2625",359500,359500,1981,2740,0.1508,1/17/2016,2/17/2016,4/15/2016,31
Sold,"2303 Grenoble Dr, Lodi, CA 95242-9139",599000,595000,1991,3350,0.2508,4/22/2016,7/15/2016,8/29/2016,84
Sold,"305 Bella Vista Dr, Lodi, CA 95242-3301",399000,370000,1962,2443,0.1894,5/28/2015,6/14/2016,7/21/2016,350
Sold,"2328 Brittany Ln, Lodi, CA 95242",1175000,899000,1987,3950,0.49,4/13/2016,5/14/2016,7/29/2016,31
Sold,"858 Kramer Dr, Lodi, CA 95242-3705",394950,387000,1979,2019,0.1722,11/23/2015,2/15/2016,4/15/2016,84
Sold,"1048 Vienna Dr, Lodi, CA 95242-9693",569900,558000,1993,3384,0.2273,10/3/2015,3/24/2016,4/29/2016,98
Sold,"806 S Mills Ave, Lodi, CA 95242",364950,365000,1971,2036,0.1619,1/5/2016,3/11/2016,4/19/2016,66
Sold,"1908 Bridgewood Dr, Lodi, CA 95242-3905",459000,443000,2002,2430,0.1367,1/8/2016,2/18/2016,4/1/2016,41
Sold,"102 Benson Dr, Lodi, CA 95242",338000,325000,1969,1574,0.1322,1/20/2016,2/1/2016,4/29/2016,12
