Type,Address,Listing Price,Selling Price,Year Built,Square Feet,Lot Size(AC),Listing Date,Pending Date,Sold Date,Days on Market
Sold,"301 Leland Ct, Lodi, CA 95242-3328",470000,471000,1989,2517,0.2402,6/14/2016,8/29/2016,10/21/2016,76
Sold,"2432 Brittany Ct, Lodi, CA 95242-9144",789999,790000,1999,4035,0.3919,5/10/2016,5/17/2016,6/29/2016,7
Sold,"2428 Saint Moritz Dr Lodi, CA 95242-9600",525000,450000,1990,2253,0.2,7/4/2009,5/21/2010,6/22/2010,321
Sold,"2441 Grenoble Ct Lodi, CA 95242-9146",659000,595000,1993,3608,0.249,8/20/2010,8/20/2010,10/8/2010,0
Sold,"2442 Corbin Ln Lodi, CA 95242-3628",260000,260000,1965,1384,0.1423,3/2/2015,3/22/2015,4/23/2015,20
Sold,"35 Genie Way Lodi, CA 95242-2835",199900,185000,1974,1639,0.22,5/12/2010,7/1/2011,8/18/2011,380
Sold,"2490 Central Park Dr, Lodi, CA 95242-3209",399950,390000,1991,2210,0.124,12/31/2015,5/24/2016,6/24/2016,145
Sold,"2443 Corbin Ln Lodi, CA 95242-3629",209950,205000,1966,1250,0.13,5/4/2013,5/9/2013,5/23/2013,5
Sold,"942 Cologne Ct, Lodi, CA 95242-4119",719900,719900,2001,3595,0.2702,4/20/2015,6/23/2015,8/6/2015,64
Sold,"2443 Corbin Ln Lodi, CA 95242-3629",199900,192500,1966,1250,0.13,3/15/2010,4/15/2010,5/13/2010,31
Sold,"2421 Diablo Dr Lodi, CA 95242-3315",299900,299000,1970,2371,0.28,7/5/2012,7/5/2012,8/31/2012,0
Sold,"2434 Summerset Ct Lodi, CA 95242-3652",669000,659000,1998,3258,0.29,4/20/2012,5/31/2012,7/19/2012,41
Sold,"2491 Macarthur Pkwy, Lodi, CA 95242",395000,375000,1990,2170,0.124,5/12/2016,8/5/2016,8/31/2016,77
Sold,"2497 Central Park Dr Lodi, CA 95242-3210",269950,250000,1993,1677,0.1,6/16/2009,3/15/2010,4/7/2010,272
Sold,"325 Leland Ct Lodi, CA 95242-3328",507500,475000,1990,3523,0.25,10/1/2011,2/8/2012,2/29/2012,130
Sold,"2495 Macarthur Pkwy Lodi, CA 95242-3253",266900,263500,1990,1894,0.1,12/5/2011,4/17/2012,6/27/2012,134
Sold,"2449 Corbin Ln Lodi, CA 95242-3629",175000,171000,1966,1304,0.13,7/23/2012,7/28/2012,10/4/2012,5
Sold,"2452 Grenoble Ct Lodi, CA 95242-9171",499000,496000,2000,2867,0.29,2/15/2011,2/15/2011,3/17/2011,0
Sold,"2475 Macarthur Pkwy Lodi, CA 95242-3253",389900,412000,1992,1925,0.1073,3/3/2015,3/4/2015,4/1/2015,1
Sold,"412 N Lower Sacramento Rd. Lodi, CA 95242",279000,270000,1969,1900,0.1453,11/3/2014,1/24/2015,2/24/2015,82
Sold,"418 N Lower Sacramento Rd Lodi, CA 95242-2113",189900,178000,1970,1439,0.15,3/5/2011,4/29/2011,5/12/2011,40
Sold,"326 N Lower Sacramento Rd Lodi, CA 95242-2111",181900,176000,1976,1502,0.12,12/12/2011,2/3/2012,3/12/2012,52
Sold,"304 N Lower Sacramento Rd Lodi, CA 95242-2111",135900,125000,1985,1094,0.11,8/18/2010,9/18/2010,9/30/2010,31
Sold,"2537 Central Park Dr Lodi, CA 95242-3211",265000,260000,1995,1617,0.11,3/22/2013,5/13/2013,6/21/2013,52
Sold,"2553 Central Park Dr Lodi, CA 95242",275000,290000,1995,1617,0.1,7/8/2013,7/26/2013,8/13/2013,18
Sold,"319 Whitney St Lodi, CA 95242-2170",229900,227000,1977,1592,0.1628,11/22/2014,12/19/2014,2/6/2015,18
Sold,"2432 Aladdin Way Lodi, CA 95242-2805",270000,270000,1974,1236,0.2061,8/11/2014,9/21/2014,10/10/2014,41
Sold,"2432 W Vine St Lodi, CA 95242-3700",399000,380000,1991,2795,0.22,5/13/2011,9/8/2011,10/20/2011,118
Sold,"301 Leland Ct Lodi, CA 95242-3328",350000,320000,1989,2517,0.24,8/9/2009,12/22/2009,12/24/2009,135
Sold,"2405 W Elm St, Lodi, CA 95242-2828",220000,225500,1975,1109,0.053,7/23/2016,7/25/2016,8/16/2016,2
Sold,"2485 Central Park Dr Lodi, CA 95242-3208",359000,342000,1992,2228,0.11,11/14/2008,5/6/2009,6/9/2009,173
Sold,"2436 Corbin Ln Lodi, CA 95242-3628",164900,153750,1965,1250,0.13,1/2/2012,1/3/2012,1/18/2012,1
Sold,"2482 Central Park Dr Lodi, CA 95242-3207",289000,289000,1992,2241,0.12,1/13/2012,1/31/2012,3/1/2012,18
Sold,"324 Leland Ct Lodi, CA 95242-3328",499000,480000,1989,2969,0.27,6/12/2012,6/14/2012,7/26/2012,2
Sold,"2438 W Tokay St Lodi, CA 95242-3647",237400,230000,1989,1657,0.12,7/17/2011,2/2/2012,2/24/2012,200
