Address,Address - Zip Code,# of Garage Spaces,Bathrooms - Full,Bathrooms - Half,Bedrooms,HOA Dues,Listing Price,Price_Per_SQFT_LISTING,Lot Size - Sq Ft,Listing Date,Pending Date,Pool,Selling Date,Selling Price,Selling_Price_Per_Sqft,Square Footage,Year Built
"2432 Brittay Ct, Lodi, CA 95242-9144",95242,3,4,1,5,400,789999,195.79,17071,5/9/2016,5/17/2016,YESY,6/29/2016,790000,195.7868649,4035,1999
"2431 W Tokay St, Lodi, CA 95242-3648",95242,2,2,0,3,0,259900,188.2,5898,9/24/2016,9/30/2016,NONO,10/27/2016,273000,197.6828385,1381,1965
"2405 W Elm St, Lodi, CA 95242-2828",95242,2,2,0,3,170,220000,198.38,2309,7/21/2016,7/25/2016,YESY,8/16/2016,225500,203.336339,1109,1975
"324 Leland Ct Lodi, CA 95242-3328",95242,3,3,0,5,0,499000,168.07,11761,6/8/2012,6/14/2012,NONO,7/26/2012,480000,161.6705962,2969,1989
"2428 Vintage Oaks Ct, Lodi, CA 95242-9347",95242,3,2,1,3,0,495000,195.73,11256,6/12/2016,9/8/2016,NONO,10/17/2016,497000,196.5203638,2529,2007
"2438 W Tokay St Lodi, CA 95242-3647",95242,2,2,0,3,0,237400,143.27,5227,7/13/2011,2/2/2012,NONO,2/24/2012,230000,138.8050694,1657,1989
"2435 W Elm St Lodi, CA 95242-2830",95242,2,2,0,3,170,159900,144.18,2178,4/11/2012,6/14/2012,YESY,2/28/2013,151905,136.974752,1109,1975
"2557 Central Park Dr Lodi, CA 95242-3211",95242,2,2,0,2,230,238900,147.74,4792,6/16/2010,12/29/2010,YESY,3/9/2011,235000,145.3308596,1617,1995
"805 Kristen Ct Lodi, CA 95242-9554",95242,2,2,1,3,0,285000,166.18,13939,3/25/2013,4/1/2013,YESY,5/14/2013,298500,174.0524781,1715,1973
"2430 Elmwood Ct Lodi, CA 95242-2831",95242,4,3,0,2,0,309950,175.91,10424,12/10/2014,1/15/2015,NONO,2/19/2015,309000,175.368899,1762,1986
"2411 Diablo Dr Lodi, CA 95242-3315",95242,2,2,0,3,0,349000,172.26,16988,10/22/2012,11/2/2012,NONO,12/12/2012,320000,157.946693,2026,1965
"2475 Macarthur Pkwy Lodi, CA 95242-3253",95242,2,2,0,2,250,389900,202.55,4674,3/3/2015,3/4/2015,YESY,4/1/2015,412000,214.025974,1925,1992
"641 Tahoe Dr, Lodi, CA 95242-2156",95242,2,2,0,3,0,299900,228.93,4988,2/12/2016,2/19/2016,NONO,3/29/2016,305000,232.8244275,1310,1974
"308 Leland Ct, Lodi, CA 95242-3328",95242,2,2,0,3,0,450000,226.02,10533,7/8/2016,9/6/2016,NONO,9/30/2016,425000,213.4605726,1991,1987
"2478 Central Park Dr Lodi, CA 95242-3207",95242,2,2,0,2,230,279000,135.37,4356,7/20/2011,8/5/2011,YESY,9/13/2011,259000,125.6671519,2061,1992
"300 Leland Ct Lodi, CA 95242-3328",95242,2,2,0,3,0,439000,201.84,11069,3/14/2014,5/13/2014,NONO,5/22/2014,400000,183.908046,2175,1988
"805 Kristen Ct Lodi, CA 95242-9554",95242,2,2,1,3,0,379000,220.99,14000,11/18/2014,11/26/2014,YESY,1/2/2015,371000,216.3265306,1715,1973
"2436 Elmwood Ct Lodi, CA 95242-2831",95242,2,2,0,3,0,279950,170.6,7863,12/13/2014,3/13/2015,NONO,4/15/2015,270500,164.8385131,1641,1985
"2477 Central Park, Lodi, CA 95242",95242,2,2,0,2,260,379000,196.37,4600,7/1/2016,8/23/2016,YESY,9/28/2016,375000,194.3005181,1930,1994
"2491 Macarthur Pkwy, Lodi, CA 95242",95242,2,2,1,3,260,395000,182.03,5400,5/12/2016,8/5/2016,YESY,8/31/2016,375000,172.8110599,2170,1990
"319 Whitney St Lodi, CA 95242-2170",95242,2,2,0,4,0,229900,144.41,7092,11/6/2014,12/19/2014,NONO,2/6/2015,227000,142.5879397,1592,1977
"2432 Aladdin Way Lodi, CA 95242-2805",95242,2,2,0,3,0,270000,218.45,8978,8/7/2014,9/21/2014,NONO,10/10/2014,270000,218.4466019,1236,1974
"2432 W Vine St Lodi, CA 95242-3700",95242,3,2,1,4,450,399000,142.75,9583,5/13/2011,9/8/2011,NONO,10/20/2011,380000,135.9570662,2795,1991
"2442 Corbin Ln Lodi, CA 95242-3628",95242,2,2,0,3,0,260000,187.86,6199,3/1/2015,3/22/2015,NONO,4/23/2015,260000,187.8612717,1384,1965
"918 Cologne Ct Lodi, CA 95242-4119",95242,3,2,2,4,450,600000,212.39,14122,7/12/2014,7/12/2014,YESY,9/12/2014,600000,212.3893805,2825,1998
"2428 Saint Moritz Dr Lodi, CA 95242-9600",95242,3,2,0,3,0,525000,233.02,8712,7/2/2009,5/21/2010,NONO,6/22/2010,450000,199.7336884,2253,1990
"2344 Cabrillo Cir, Lodi, CA 95242-3310",95242,2,2,1,2,0,525000,193.58,17498,3/1/2015,8/10/2015,NONO,9/2/2015,497000,183.259587,2712,1960
"2490 Central Park Dr, Lodi, CA 95242-3209",95242,2,2,1,3,260,399950,180.97,5401,12/31/2015,5/24/2016,YESY,6/24/2016,390000,176.4705882,2210,1991
"942 Cologne Ct, Lodi, CA 95242-4119",95242,3,4,0,4,475,719900,200.25,11770,4/17/2015,6/23/2015,YESY,8/6/2015,719900,200.2503477,3595,2001
"2436 Corbin Ln Lodi, CA 95242-3628",95242,2,2,0,3,0,164900,131.92,5663,1/2/2012,1/3/2012,NONO,1/18/2012,153750,123,1250,1965
"301 Leland Ct, Lodi, CA 95242-3328",95242,2,2,0,4,0,470000,186.73,10463,6/14/2016,8/29/2016,YESY,10/21/2016,471000,187.1275328,2517,1989
"2482 Central Park Dr Lodi, CA 95242-3207",95242,2,2,0,3,230,289000,128.96,5227,1/11/2012,1/31/2012,YESY,3/1/2012,289000,128.9602856,2241,1992
"2553 Central Park Dr Lodi, CA 95242",95242,2,2,0,2,240,275000,170.07,4356,7/5/2013,7/26/2013,YESY,8/13/2013,290000,179.3444651,1617,1995
