Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,129040.445312
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,263487.1875
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,59611.2421875
"2407 Corbin Lane, Lodi, CA 95242",318000,120881.757812
"647 El Capitan, Lodi, CA 95242",319900,70968.4921875
"717 Peach St, Lodi, CA 95242-3638",219000,1686.91918945
"721 Rutledge Dr, Lodi, CA 95242",315000,48717.78125
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,321526.9375
"870 Rutledge Dr., Lodi, CA 95242",185000,39.2434997559
"910 Tehama Dr, Lodi, CA 95242-9553",595000,149713.3125
"2069 Incline, Lodi, CA 95242",528000,202659.0
"2570 Legacy Way, Lodi, CA 95242-4821",515000,170035.078125
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,230331.890625
"2530 Legacy Way, Lodi, CA 95242",512900,139770.953125
"303 Rainier Dr, Lodi, CA 95242-2627",335000,56530.0078125
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,306643.875
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,176942.59375
"1123 Dover Dr, Lodi, CA 95242-3814",309500,71581.96875
"2025 Mammoth Way, Lodi, CA 95242",728000,275533.90625
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,203692.3125
"220 S Mills Ave, Lodi, CA 95242-3140",274000,43116.796875
"900 Evert Ct, Lodi, CA 95242-3704",500000,120450.742188
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,142533.421875
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,39.2434997559
"1701 Holly Dr, Lodi, CA 95242-2430",307000,49648.6601562
"1705 Providence Way, Lodi, CA 95242-4745",499000,201168.453125
"300 Westwood Ave, Lodi, CA 95242-2451",249999,17454.0410156
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,146448.171875
"1811 Newport Dr, Lodi, CA 95242",333000,72029.5859375
"1203 Vienna Drive, Lodi, CA 95242",730000,242368.03125
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,59700.1484375
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,82732.734375
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,149601.640625
"955 Virginia Ave, Lodi, CA 95242-3583",439950,132177.1875
"1701 Normandy Ln, Lodi, CA 95242",399950,94427.078125
"818 Cheney Ct, Lodi, CA 95242-3507",664999,210287.328125
"701 W Tokay St, Lodi, CA 95240-3925",420000,23952.7695312
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,186386.125
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,67220.578125
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,39.243927002
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,8438.92578125
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,5873.49755859
