Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,527000.0
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,752500.0
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,361344.029851
"2407 Corbin Lane, Lodi, CA 95242",318000,300270.229299
"647 El Capitan, Lodi, CA 95242",319900,300270.229299
"717 Peach St, Lodi, CA 95242-3638",219000,209656.040268
"721 Rutledge Dr, Lodi, CA 95242",315000,300270.229299
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,849666.666667
"870 Rutledge Dr., Lodi, CA 95242",185000,189215.84375
"910 Tehama Dr, Lodi, CA 95242-9553",595000,567883.928571
"2069 Incline, Lodi, CA 95242",528000,482766.532258
"2570 Legacy Way, Lodi, CA 95242-4821",515000,482766.532258
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,633370.0
"2530 Legacy Way, Lodi, CA 95242",512900,482766.532258
"303 Rainier Dr, Lodi, CA 95242-2627",335000,323547.581395
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,849666.666667
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,567883.928571
"1123 Dover Dr, Lodi, CA 95242-3814",309500,300270.229299
"2025 Mammoth Way, Lodi, CA 95242",728000,633370.0
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,482766.532258
"220 S Mills Ave, Lodi, CA 95242-3140",274000,268359.151515
"900 Evert Ct, Lodi, CA 95242-3704",500000,482766.532258
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,482766.532258
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,189215.84375
"1701 Holly Dr, Lodi, CA 95242-2430",307000,300270.229299
"1705 Providence Way, Lodi, CA 95242-4745",499000,482766.532258
"300 Westwood Ave, Lodi, CA 95242-2451",249999,250404.606936
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,482766.532258
"1811 Newport Dr, Lodi, CA 95242",333000,323547.581395
"1203 Vienna Drive, Lodi, CA 95242",730000,633370.0
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,338807.673077
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,338807.673077
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,418908.164557
"955 Virginia Ave, Lodi, CA 95242-3583",439950,418908.164557
"1701 Normandy Ln, Lodi, CA 95242",399950,418908.164557
"818 Cheney Ct, Lodi, CA 95242-3507",664999,633370.0
"701 W Tokay St, Lodi, CA 95240-3925",420000,418908.164557
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,482766.532258
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,300270.229299
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,104694.715596
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,198479.943396
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,282036.287356
"1731 S School St, Lodi, CA 95240-6248",268500,268359.151515
"301 Olive Ct, Lodi, CA 95240-1120",219000,209656.040268
"500 Gerard Dr, Lodi, CA 95242",335000,323547.581395
"2111 Newbury Cir, Lodi, CA 95240",269900,268359.151515
"1333 Robinson Ln, Lodi, CA 95242-3929",265000,268359.151515
"2116 Newbury Cir, Lodi, CA 95240",262500,250404.606936
"310 Palm Ave, Lodi, CA 95240-1131",299999,300270.229299
"1310 S Church St, Lodi, CA 95240-5716",265000,268359.151515
"2250 Scarborough Dr #68, Lodi, CA 95240-6654",167000,158481.619565
"811 S California St, Lodi, CA 95240-4622",299000,300270.229299
"2306 S Ham, Lodi, CA 95242",359900,361344.029851
"1002 Pinot Noir Dr, Lodi, CA 95240-7423",349900,338807.673077
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,527000.0
"708 S Church St, Lodi, CA 95240-4727",312000,300270.229299
"651 Grant Ave, Lodi, CA 95240-0907",338000,323547.581395
"137 S Ham Ln, Lodi, CA 95242",249000,250404.606936
"701 N Roper Ave, Lodi, CA 95240-0925",270000,268359.151515
"1005 S Pleasant Ave, Lodi, CA 95240",269950,268359.151515
"418 N ham Ln, Lodi, CA 95242",269950,268359.151515
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,198479.943396
"500 S Orange, Lodi, CA 95240",282500,282036.287356
"1121 S School St, Lodi, CA 95240-5706",349000,338807.673077
"719 W Vine, Lodi, CA 95240",294888,300270.229299
"1608 Brandywine Ct, Lodi, CA 95240-7401",349000,338807.673077
"216 N Hutchins St, Lodi, CA 95240-1920",285000,282036.287356
"1495 Centennial Dr, Lodi, CA 95242-4701",659500,633370.0
"1619 S Church St, Lodi, CA 95240-6205",249500,250404.606936
"910 York St, Lodi, CA 95240-5103",274900,268359.151515
"1235 S Pleasant Ave, Lodi, CA 95240-5725",250000,250404.606936
"1209 S Fairmont Ave, Lodi, CA 95240-5518",289000,282036.287356
"20 S Ham Ln, Lodi, CA 95242-3001",299000,300270.229299
"741 S Church St, Lodi, CA 95240-4726",439000,418908.164557
"616 Alicante Dr, Lodi, CA 95240-5607",219950,209656.040268
"621 S Sacramento St, Lodi, CA 95240",169000,173587.969697
"325 E Harney Ln, Lodi, CA 95240-6839",280000,268359.151515
"311 E Harney Ln, Lodi, CA 95240-6839",320000,300270.229299
"18 W Vine St, Lodi, CA 95240",239000,234016.210811
"216 Hilborn St, Lodi, CA 95240-4118",229900,222495.098039
"445 Almond Dr #37, Lodi, CA 95240-6341",115000,117117.884211
"340 Eden St, Lodi, CA 95240-4112",184900,189215.84375
"1828 Almondwood Pl, Lodi, CA 95240",244500,234016.210811
"1863 Almondwood Pl, Lodi, CA 95240-8855",249900,250404.606936
"211 Hartford Dr, Lodi, CA 95240-7895",321000,300270.229299
"17 Sierra Vista Pl, Lodi, CA 95240-4740",249900,250404.606936
