Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,184429.53125
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,381515.03125
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,77311.109375
"2407 Corbin Lane, Lodi, CA 95242",318000,169118.46875
"647 El Capitan, Lodi, CA 95242",319900,101586.632812
"717 Peach St, Lodi, CA 95242-3638",219000,39.0952796936
"721 Rutledge Dr, Lodi, CA 95242",315000,66335.515625
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,462587.71875
"870 Rutledge Dr., Lodi, CA 95242",185000,39.0952033997
"910 Tehama Dr, Lodi, CA 95242-9553",595000,216261.59375
"2069 Incline, Lodi, CA 95242",528000,284994.125
"2570 Legacy Way, Lodi, CA 95242-4821",515000,246761.78125
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,327275.375
"2530 Legacy Way, Lodi, CA 95242",512900,200409.296875
"303 Rainier Dr, Lodi, CA 95242-2627",335000,80174.984375
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,433407.6875
"1363 Lakeshore Dr, Lodi, CA 95242-3937",575000,252321.546875
"1123 Dover Dr, Lodi, CA 95242-3814",309500,101880.773438
"2025 Mammoth Way, Lodi, CA 95242",728000,391716.15625
"2070 Katnich Ln, Lodi, CA 95242-4805",499000,286543.96875
"220 S Mills Ave, Lodi, CA 95242-3140",274000,61271.5742188
"900 Evert Ct, Lodi, CA 95242-3704",500000,172528.9375
"1479 Rumi Ct, Lodi, CA 95242-4213",475000,192337.5
"1924 S Mills Ave #1, Lodi, CA 95242-4477",199000,38.7562294006
"1701 Holly Dr, Lodi, CA 95242-2430",307000,70420.0546875
"1705 Providence Way, Lodi, CA 95242-4745",499000,283692.5
"300 Westwood Ave, Lodi, CA 95242-2451",249999,20618.8359375
"1731 Willow Point Ct, Lodi, CA 95242-4285",522000,201938.203125
"1811 Newport Dr, Lodi, CA 95242",333000,101419.40625
"1203 Vienna Drive, Lodi, CA 95242",730000,343393.75
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,85073.1875
"1463 S Mills Ave, Lodi, CA 95242-4265",354900,114657.609375
"1641 Cimmaron Dr, Lodi, CA 95242-4744",419000,208748.59375
"955 Virginia Ave, Lodi, CA 95242-3583",439950,190127.203125
"1701 Normandy Ln, Lodi, CA 95242",399950,135959.265625
"818 Cheney Ct, Lodi, CA 95242-3507",664999,288375.6875
"701 W Tokay St, Lodi, CA 95240-3925",420000,40503.3554688
"1621 Millbrook Dr, Lodi, CA 95242-4794",525000,267575.59375
"1903 Mimosa Dr, Lodi, CA 95242-4434",310000,96408.671875
"2524 Winchester St #17, Lodi, CA 95240-8114",109900,39.0021018982
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,39.0949897766
"1750 Colombard Cir, Lodi, CA 95240-6105",289000,4481.41210938
"1731 S School St, Lodi, CA 95240-6248",268500,2735.66674805
"301 Olive Ct, Lodi, CA 95240-1120",219000,39.0949211121
"500 Gerard Dr, Lodi, CA 95242",335000,80767.859375
"2111 Newbury Cir, Lodi, CA 95240",269900,39.0952796936
"1333 Robinson Ln, Lodi, CA 95242-3929",265000,105318.726562
"2116 Newbury Cir, Lodi, CA 95240",262500,160.660797119
"310 Palm Ave, Lodi, CA 95240-1131",299999,1661.51940918
"1310 S Church St, Lodi, CA 95240-5716",265000,39.0953483582
"2250 Scarborough Dr #68, Lodi, CA 95240-6654",167000,38.0213165283
"811 S California St, Lodi, CA 95240-4622",299000,770.52154541
"2306 S Ham, Lodi, CA 95242",359900,193039.421875
"1002 Pinot Noir Dr, Lodi, CA 95240-7423",349900,2112.72070312
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,170275.09375
"708 S Church St, Lodi, CA 95240-4727",312000,3483.77099609
"651 Grant Ave, Lodi, CA 95240-0907",338000,39.0952796936
"137 S Ham Ln, Lodi, CA 95242",249000,39.095703125
"701 N Roper Ave, Lodi, CA 95240-0925",270000,39.0946388245
"1005 S Pleasant Ave, Lodi, CA 95240",269950,39.0955543518
"418 N ham Ln, Lodi, CA 95242",269950,39.0952796936
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,39.0947036743
"500 S Orange, Lodi, CA 95240",282500,39.0952796936
"1121 S School St, Lodi, CA 95240-5706",349000,557.153259277
"719 W Vine, Lodi, CA 95240",294888,39.0949211121
